epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2422,3.43496,6.78081,0.04849,0.00398,0.28006,0.00274,0.00068,3.26302,5.52028,0.04761,0.00331597,0.00331597,0.0701563
2,139.072,3.41864,5.73644,0.04985,0.00554,0.35312,0.01108,0.00262,3.19647,3.87218,0.04669,0.00660941,0.00660941,0.0401164
3,199.066,2.6007,3.66668,0.03694,0.20788,0.27397,0.16,0.04924,2.07349,3.90521,0.03011,0.00986285,0.00986285,0.0100365
4,258.759,1.99811,2.8484,0.02666,0.2554,0.29528,0.21074,0.08409,1.87107,3.00634,0.02626,0.00982,0.00982,0.00982
5,318.32,1.76992,2.53744,0.02274,0.37173,0.27549,0.22847,0.11243,1.72209,2.59607,0.02347,0.00976,0.00976,0.00976
6,377.841,1.65805,2.35297,0.02114,0.44274,0.42009,0.37447,0.21302,1.53999,2.07278,0.02108,0.0097,0.0097,0.0097
7,437.45,1.57818,2.2261,0.02057,0.46645,0.43379,0.40962,0.24213,1.51562,1.96252,0.02034,0.00964,0.00964,0.00964
8,497.111,1.54241,2.1169,0.01972,0.44663,0.37443,0.33895,0.18686,1.5775,2.17243,0.02173,0.00958,0.00958,0.00958
9,556.607,1.48667,2.05047,0.01892,0.53618,0.46276,0.47166,0.27554,1.37505,1.81504,0.01818,0.00952,0.00952,0.00952
10,616.163,1.44209,1.94836,0.01778,0.53355,0.45662,0.45952,0.29448,1.35328,1.85197,0.01791,0.00946,0.00946,0.00946
11,675.866,1.41117,1.89897,0.0176,0.5529,0.46423,0.49821,0.30841,1.28336,1.77377,0.01687,0.0094,0.0094,0.0094
12,735.508,1.35952,1.83838,0.01675,0.54316,0.44901,0.48652,0.30756,1.33387,1.75344,0.01732,0.00934,0.00934,0.00934
13,795.009,1.32908,1.76918,0.01626,0.57389,0.48402,0.5283,0.36004,1.2353,1.69709,0.01575,0.00928,0.00928,0.00928
14,854.685,1.31951,1.73766,0.01627,0.5852,0.48858,0.54072,0.3594,1.2592,1.62411,0.01618,0.00922,0.00922,0.00922
