epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1438,3.40965,6.24206,0.0483,0.00502,0.34399,0.00401,0.00091,nan,nan,nan,0.00331597,0.00331597,0.0701563
2,116.925,3.44391,5.83253,0.05023,0.00472,0.33181,0.00427,0.00103,3.24242,5.24046,0.04777,0.00660941,0.00660941,0.0401164
3,157.095,2.75606,4.13125,0.03938,0.11526,0.17352,0.05782,0.02047,2.09106,7.55454,0.03123,0.00986285,0.00986285,0.0100365
4,197.003,1.91151,2.87235,0.0257,0.04689,0.07915,0.02555,0.01166,1.96206,3.69373,0.02858,0.00982,0.00982,0.00982
5,236.883,1.66283,2.50887,0.02164,0.35444,0.35312,0.28214,0.1543,1.51954,2.24277,0.02106,0.00976,0.00976,0.00976
6,276.773,1.55878,2.28268,0.02012,0.40463,0.41553,0.37433,0.21538,1.39354,2.07331,0.01925,0.0097,0.0097,0.0097
7,316.708,1.49211,2.15512,0.01958,0.48646,0.39269,0.40542,0.24039,1.41935,2.02377,0.01937,0.00964,0.00964,0.00964
8,356.727,1.45546,2.03922,0.01881,0.51564,0.41248,0.43487,0.27012,1.38129,1.91702,0.01826,0.00958,0.00958,0.00958
9,396.784,1.40086,1.93783,0.01796,0.47818,0.44597,0.43057,0.27456,1.30043,1.92556,0.01723,0.00952,0.00952,0.00952
10,436.874,1.35331,1.84332,0.01685,0.52987,0.45053,0.49254,0.31175,1.28002,1.77197,0.01764,0.00946,0.00946,0.00946
11,477.037,1.32927,1.813,0.01672,0.50369,0.49924,0.49123,0.32066,1.26237,1.79066,0.01662,0.0094,0.0094,0.0094
12,517.206,1.28616,1.74185,0.01605,0.56651,0.48858,0.51365,0.32965,1.25174,1.68077,0.01684,0.00934,0.00934,0.00934
13,557.28,1.26794,1.67159,0.01576,0.55341,0.50381,0.51212,0.33976,1.24417,1.71496,0.01588,0.00928,0.00928,0.00928
