epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0788,3.4792,6.7746,0.05015,0.00405,0.28463,0.00291,0.00065,3.39623,14.2432,0.05121,0.00332026,0.00332026,0.0701176
2,148.841,3.41125,5.93524,0.05007,0.06282,0.01522,0.01031,0.00246,3.05238,3.65596,0.04623,0.00661367,0.00661367,0.0400777
3,203.055,2.73711,3.8593,0.03946,0.10586,0.17199,0.0627,0.0148,2.42258,3.45299,0.03823,0.00986708,0.00986708,0.0099978
4,256.98,2.12293,2.97153,0.02857,0.30495,0.21005,0.15787,0.06176,2.12261,2.75565,0.03178,0.00982,0.00982,0.00982
5,310.851,1.88851,2.65346,0.02451,0.37084,0.29376,0.26305,0.12483,1.69383,2.45916,0.024,0.00976,0.00976,0.00976
6,364.799,1.75873,2.42483,0.02309,0.40169,0.32905,0.30286,0.14549,1.66844,2.3035,0.02404,0.0097,0.0097,0.0097
7,419.056,1.65757,2.29197,0.02155,0.41501,0.42466,0.37161,0.19971,1.54332,2.02166,0.02157,0.00964,0.00964,0.00964
8,473.143,1.61387,2.17723,0.02055,0.49792,0.42314,0.43122,0.23465,1.46222,1.89897,0.02061,0.00958,0.00958,0.00958
9,527.222,1.53242,2.06523,0.01973,0.47407,0.44597,0.42156,0.24214,1.41788,1.87072,0.01945,0.00952,0.00952,0.00952
10,581.317,1.48586,2.00694,0.0187,0.4876,0.42009,0.44328,0.26553,1.41296,1.88046,0.01902,0.00946,0.00946,0.00946
11,635.545,1.44768,1.94855,0.0184,0.52413,0.47489,0.48635,0.29414,1.35993,1.74206,0.01795,0.0094,0.0094,0.0094
12,689.712,1.41407,1.87708,0.01778,0.59854,0.4551,0.51243,0.32428,1.30005,1.63781,0.01727,0.00934,0.00934,0.00934
13,743.781,1.38389,1.84392,0.01728,0.51417,0.53272,0.52891,0.34134,1.26598,1.61994,0.0164,0.00928,0.00928,0.00928
14,797.857,1.37081,1.82173,0.01697,0.61779,0.50381,0.55018,0.342,1.27739,1.57716,0.01706,0.00922,0.00922,0.00922
15,852.019,1.34118,1.77332,0.01645,0.56971,0.4551,0.50493,0.33229,1.2405,1.66538,0.01655,0.00916,0.00916,0.00916
16,906.045,1.29902,1.73201,0.01611,0.60112,0.49619,0.55299,0.37227,1.20618,1.59563,0.01574,0.0091,0.0091,0.0091
17,960.14,1.28246,1.70367,0.01582,0.60133,0.50076,0.55354,0.36946,1.17831,1.50557,0.01568,0.00904,0.00904,0.00904
18,1014.32,1.26521,1.67257,0.01575,0.59726,0.55251,0.585,0.39569,1.16944,1.45242,0.01523,0.00898,0.00898,0.00898
19,1068.25,1.25202,1.66427,0.01551,0.60639,0.5175,0.56331,0.39689,1.12318,1.51265,0.01451,0.00892,0.00892,0.00892
20,1122.34,1.23694,1.62117,0.01528,0.58124,0.54642,0.5739,0.39962,1.13977,1.4413,0.0148,0.00886,0.00886,0.00886
21,1176.64,1.21929,1.59326,0.01501,0.67234,0.47945,0.58569,0.40663,1.12704,1.50074,0.01456,0.0088,0.0088,0.0088
22,1230.62,1.19605,1.56597,0.0148,0.6846,0.5319,0.618,0.42626,1.12093,1.37935,0.01451,0.00874,0.00874,0.00874
23,1284.27,1.18937,1.55863,0.01448,0.6823,0.52968,0.60815,0.43029,1.09811,1.42323,0.01408,0.00868,0.00868,0.00868
24,1338.02,1.18069,1.53791,0.01439,0.60092,0.58295,0.62335,0.4376,1.07675,1.37416,0.01373,0.00862,0.00862,0.00862
25,1392.02,1.16115,1.52201,0.01411,0.60095,0.54338,0.59573,0.41371,1.10742,1.39989,0.01389,0.00856,0.00856,0.00856
26,1445.99,1.15466,1.47805,0.01395,0.63128,0.56164,0.61314,0.43921,1.08401,1.40879,0.01365,0.0085,0.0085,0.0085
27,1500.15,1.14418,1.47875,0.01369,0.69515,0.52511,0.62931,0.45366,1.06999,1.31443,0.01349,0.00844,0.00844,0.00844
28,1554.39,1.13577,1.48041,0.01364,0.67489,0.55403,0.64695,0.4743,1.05124,1.28774,0.01305,0.00838,0.00838,0.00838
29,1608.47,1.12109,1.46277,0.01371,0.68434,0.55251,0.63844,0.46928,1.05768,1.31922,0.01316,0.00832,0.00832,0.00832
30,1662.49,1.12004,1.42905,0.01359,0.68225,0.56469,0.6174,0.44836,1.07798,1.43655,0.01368,0.00826,0.00826,0.00826
31,1716.51,1.11919,1.39457,0.01328,0.72417,0.54346,0.62833,0.45267,1.07339,1.38812,0.01336,0.0082,0.0082,0.0082
32,1770.35,1.09665,1.38058,0.01348,0.67767,0.5723,0.64587,0.47911,1.05156,1.32391,0.01314,0.00814,0.00814,0.00814
33,1823.7,1.08923,1.35438,0.01317,0.66015,0.58904,0.64877,0.48102,1.04755,1.32081,0.01316,0.00808,0.00808,0.00808
34,1877.68,1.08347,1.35703,0.01315,0.69066,0.57078,0.65975,0.4857,1.03999,1.30894,0.01293,0.00802,0.00802,0.00802
35,1931.57,1.07349,1.3163,0.01282,0.72949,0.54947,0.65221,0.48344,1.02822,1.37476,0.01264,0.00796,0.00796,0.00796
36,1985.47,1.0669,1.33611,0.01294,0.68765,0.57839,0.65563,0.48445,1.02582,1.31538,0.01272,0.0079,0.0079,0.0079
37,2039.38,1.07664,1.30415,0.01309,0.7343,0.5586,0.65812,0.49148,1.04148,1.35899,0.01286,0.00784,0.00784,0.00784
38,2093.51,1.05623,1.28504,0.01257,0.68852,0.58207,0.65317,0.48736,1.02319,1.29298,0.0127,0.00778,0.00778,0.00778
39,2147.42,1.06169,1.30574,0.01287,0.69579,0.54642,0.63347,0.47586,1.02711,1.42325,0.01259,0.00772,0.00772,0.00772
40,2201.4,1.04864,1.28697,0.01259,0.70333,0.55556,0.6417,0.47831,1.0699,1.42747,0.01342,0.00766,0.00766,0.00766
41,2255.26,1.0421,1.25413,0.0125,0.6947,0.56773,0.64346,0.47386,1.02584,1.39901,0.01247,0.0076,0.0076,0.0076
42,2309.24,1.03567,1.25152,0.01233,0.73172,0.56044,0.66463,0.48872,1.04348,1.34637,0.013,0.00754,0.00754,0.00754
43,2363.18,1.02375,1.2087,0.01232,0.67005,0.5723,0.64912,0.49099,1.00233,1.39154,0.01223,0.00748,0.00748,0.00748
44,2417.23,1.00926,1.20375,0.0123,0.73599,0.53881,0.64908,0.48756,0.98841,1.36426,0.01188,0.00742,0.00742,0.00742
45,2471.08,1.00303,1.20585,0.01204,0.73365,0.59534,0.66851,0.49947,1.04161,1.36659,0.01282,0.00736,0.00736,0.00736
46,2525.18,0.99666,1.19083,0.0119,0.66022,0.60274,0.65633,0.49521,0.98899,1.38982,0.01199,0.0073,0.0073,0.0073
47,2579.03,0.99894,1.19914,0.01194,0.73223,0.55556,0.65004,0.49168,1.02106,1.43615,0.01231,0.00724,0.00724,0.00724
48,2632.91,0.98386,1.17907,0.01191,0.70273,0.61644,0.67034,0.49943,0.98258,1.31002,0.01193,0.00718,0.00718,0.00718
49,2686.88,0.99476,1.16798,0.01193,0.68808,0.59361,0.66469,0.49998,1.01646,1.38458,0.01254,0.00712,0.00712,0.00712
50,2741.14,0.98649,1.15844,0.01179,0.71564,0.54393,0.63685,0.47525,1.03726,1.48067,0.01287,0.00706,0.00706,0.00706
51,2794.84,0.9743,1.1521,0.01171,0.69339,0.60883,0.66828,0.50612,1.01421,1.33603,0.01244,0.007,0.007,0.007
52,2848.65,0.96582,1.13013,0.01159,0.76243,0.54795,0.66284,0.50318,0.99528,1.38179,0.0122,0.00694,0.00694,0.00694
53,2902.66,0.96594,1.13754,0.01164,0.72926,0.60274,0.66817,0.50624,1.00987,1.35611,0.01226,0.00688,0.00688,0.00688
54,2956.77,0.96392,1.12354,0.01153,0.68774,0.57324,0.65145,0.50369,0.99789,1.42441,0.01207,0.00682,0.00682,0.00682
55,3010.65,0.9671,1.1079,0.0116,0.7599,0.58295,0.68214,0.52615,0.97614,1.32941,0.01183,0.00676,0.00676,0.00676
56,3064.74,0.94936,1.0809,0.01125,0.75301,0.57839,0.66725,0.5115,0.98391,1.39767,0.01176,0.0067,0.0067,0.0067
57,3118.62,0.94716,1.08139,0.0112,0.67143,0.62709,0.66381,0.50054,1.01508,1.35743,0.01248,0.00664,0.00664,0.00664
58,3172.04,0.95176,1.08458,0.01139,0.71989,0.58286,0.67707,0.52102,0.98581,1.31616,0.01217,0.00658,0.00658,0.00658
59,3226,0.93075,1.05216,0.01107,0.70058,0.60542,0.66755,0.50829,0.98644,1.38009,0.01183,0.00652,0.00652,0.00652
60,3280.06,0.94159,1.0653,0.0113,0.72955,0.57534,0.67165,0.51983,0.99584,1.38234,0.01185,0.00646,0.00646,0.00646
61,3333.94,0.91978,1.04339,0.011,0.68977,0.63014,0.68598,0.5213,0.97994,1.33365,0.01192,0.0064,0.0064,0.0064
62,3387.68,0.91718,1.04205,0.01089,0.75908,0.58295,0.66968,0.5183,0.98689,1.40982,0.01179,0.00634,0.00634,0.00634
63,3441.54,0.91094,1.02601,0.01066,0.75309,0.57564,0.68357,0.52395,0.97538,1.35374,0.01177,0.00628,0.00628,0.00628
64,3495.55,0.91636,1.01833,0.01056,0.72313,0.60731,0.68454,0.52345,0.96687,1.29093,0.01169,0.00622,0.00622,0.00622
65,3549.29,0.91895,1.01884,0.01076,0.68872,0.61291,0.67027,0.52109,0.98484,1.39046,0.01162,0.00616,0.00616,0.00616
