epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5745,3.44723,6.71677,0.04843,0.00491,0.34551,0.00366,0.00086,3.24647,5.25,0.04714,0.00331597,0.00331597,0.0701563
2,145.592,3.44491,6.31778,0.04984,0.00521,0.30746,0.00411,0.00103,nan,nan,nan,0.00660941,0.00660941,0.0401164
3,216.485,3.33524,5.52574,0.04807,0.00357,0.12329,0.0022,0.00059,nan,nan,nan,0.00986285,0.00986285,0.0100365
4,286.921,2.56508,3.48842,0.03616,0.20806,0.17395,0.11239,0.0316,2.22544,3.07269,0.03317,0.00982,0.00982,0.00982
5,357.414,2.07385,2.94908,0.02786,0.23698,0.24049,0.17223,0.06611,1.91253,2.7561,0.02746,0.00976,0.00976,0.00976
6,427.857,1.86615,2.69046,0.02452,0.35344,0.26375,0.23638,0.11012,1.78508,2.51156,0.02504,0.0097,0.0097,0.0097
7,498.234,1.72711,2.5267,0.02304,0.41555,0.34247,0.31715,0.1631,1.66032,2.23303,0.02353,0.00964,0.00964,0.00964
8,568.63,1.65778,2.37018,0.02155,0.42681,0.38534,0.36844,0.19733,1.59295,2.13091,0.02221,0.00958,0.00958,0.00958
9,639.041,1.58476,2.24523,0.02053,0.50985,0.44444,0.4436,0.25587,1.45861,1.93334,0.0197,0.00952,0.00952,0.00952
10,709.564,1.53432,2.13792,0.01929,0.51692,0.40066,0.42529,0.25516,1.44125,1.90119,0.01899,0.00946,0.00946,0.00946
11,780.086,1.48203,2.10631,0.0187,0.49475,0.42618,0.44741,0.26408,1.45748,1.92583,0.01991,0.0094,0.0094,0.0094
12,850.483,1.44166,1.99648,0.0181,0.55052,0.453,0.47691,0.29145,1.40581,1.8533,0.01919,0.00934,0.00934,0.00934
13,920.895,1.40315,1.91086,0.01744,0.57126,0.45631,0.49295,0.32012,1.33733,1.83959,0.01795,0.00928,0.00928,0.00928
14,991.305,1.37973,1.89825,0.01736,0.55051,0.46728,0.50214,0.33588,1.2376,1.66518,0.01626,0.00922,0.00922,0.00922
15,1061.68,1.35139,1.85846,0.01694,0.57757,0.47184,0.51753,0.3365,1.28936,1.70045,0.01689,0.00916,0.00916,0.00916
16,1132.11,1.3193,1.80539,0.01648,0.5835,0.51446,0.54668,0.3624,1.25449,1.65308,0.01621,0.0091,0.0091,0.0091
17,1202.52,1.3119,1.80193,0.01636,0.55933,0.50381,0.53066,0.35703,1.22812,1.67308,0.01575,0.00904,0.00904,0.00904
18,1272.82,1.28305,1.7327,0.01572,0.56556,0.51294,0.53302,0.36813,1.20984,1.60316,0.01565,0.00898,0.00898,0.00898
19,1343.22,1.27163,1.73242,0.01597,0.55919,0.51598,0.54931,0.36886,1.24317,1.57634,0.0163,0.00892,0.00892,0.00892
20,1413.67,1.25285,1.67933,0.01541,0.6252,0.53729,0.57502,0.39669,1.1746,1.56871,0.01516,0.00886,0.00886,0.00886
21,1484.03,1.23998,1.68117,0.01529,0.60505,0.52359,0.56984,0.39734,1.16682,1.53505,0.01477,0.0088,0.0088,0.0088
22,1554.44,1.22608,1.64046,0.01515,0.54749,0.52055,0.54283,0.37101,1.21951,1.59313,0.01555,0.00874,0.00874,0.00874
23,1624.71,1.19073,1.62464,0.01457,0.60278,0.54795,0.5881,0.4069,1.16839,1.47121,0.01495,0.00868,0.00868,0.00868
24,1695.12,1.19448,1.59347,0.01464,0.61412,0.52055,0.58117,0.41079,1.11595,1.48831,0.01417,0.00862,0.00862,0.00862
25,1765.6,1.17484,1.57842,0.01418,0.60564,0.51446,0.58098,0.40348,1.156,1.48095,0.01481,0.00856,0.00856,0.00856
26,1835.92,1.17446,1.54804,0.01415,0.62926,0.51598,0.59722,0.43484,1.07054,1.46883,0.0132,0.0085,0.0085,0.0085
27,1906.27,1.16148,1.53796,0.01407,0.62064,0.5723,0.62994,0.44264,1.13618,1.38565,0.01425,0.00844,0.00844,0.00844
