epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8369,2.05865,4.81753,0.02896,0.10039,0.05175,0.03025,0.01264,1.6557,3.58487,0.0248,0.00331597,0.00331597,0.0701563
2,80.1582,1.57438,3.21564,0.02185,0.27639,0.10807,0.07876,0.03951,2.00059,3.31749,0.03026,0.00660941,0.00660941,0.0401164
3,108.974,1.45394,2.25445,0.01995,0.32366,0.18865,0.15964,0.0866,2.17488,3.14999,0.03373,0.00986285,0.00986285,0.0100365
4,137.463,1.40115,1.94114,0.01882,0.50454,0.43227,0.42084,0.25446,1.52481,2.12235,0.0216,0.00982,0.00982,0.00982
5,165.988,1.37105,1.76981,0.01819,0.5192,0.49309,0.52,0.33397,1.31961,1.6741,0.01863,0.00976,0.00976,0.00976
6,194.491,1.32818,1.68196,0.01728,0.64724,0.46423,0.54874,0.35375,1.3104,1.66443,0.01823,0.0097,0.0097,0.0097
7,222.988,1.30182,1.61317,0.01722,0.58036,0.52205,0.55313,0.38079,1.21044,1.5862,0.01605,0.00964,0.00964,0.00964
8,251.475,1.27961,1.5909,0.01664,0.62349,0.5723,0.61693,0.41378,1.18106,1.402,0.01572,0.00958,0.00958,0.00958
9,280.024,1.22179,1.53513,0.01566,0.64632,0.54642,0.60176,0.42967,1.12048,1.47399,0.01462,0.00952,0.00952,0.00952
10,308.603,1.19148,1.46094,0.01472,0.65174,0.60578,0.65165,0.45838,1.11708,1.30116,0.01474,0.00946,0.00946,0.00946
11,337.103,1.18735,1.47843,0.01476,0.64521,0.60883,0.65737,0.46092,1.11011,1.24772,0.01455,0.0094,0.0094,0.0094
12,365.572,1.1535,1.38921,0.01422,0.63079,0.61369,0.64602,0.45483,1.11171,1.37666,0.01463,0.00934,0.00934,0.00934
13,394.016,1.13746,1.35578,0.01399,0.67357,0.57475,0.64904,0.47258,1.13617,1.29325,0.01464,0.00928,0.00928,0.00928
14,422.692,1.12845,1.33307,0.01398,0.65931,0.61035,0.66901,0.47828,1.08045,1.27209,0.01379,0.00922,0.00922,0.00922
15,451.395,1.11485,1.32217,0.0139,0.61935,0.60179,0.63392,0.45363,1.09342,1.40005,0.01413,0.00916,0.00916,0.00916
16,480.027,1.09215,1.29715,0.01356,0.64471,0.58904,0.62794,0.44976,1.14143,1.48427,0.01438,0.0091,0.0091,0.0091
17,508.513,1.10343,1.3163,0.0137,0.64619,0.62709,0.67565,0.50059,1.03771,1.31149,0.01285,0.00904,0.00904,0.00904
18,536.98,1.07064,1.25647,0.01305,0.66458,0.6333,0.67139,0.49857,1.02858,1.33163,0.0126,0.00898,0.00898,0.00898
19,565.488,1.08605,1.26265,0.01351,0.67756,0.61948,0.68304,0.49651,1.04002,1.25709,0.0131,0.00892,0.00892,0.00892
20,593.87,1.06825,1.21697,0.01311,0.7348,0.56512,0.68226,0.51138,1.0259,1.30355,0.01258,0.00886,0.00886,0.00886
21,622.43,1.06536,1.19469,0.0131,0.68079,0.60054,0.67979,0.50439,1.01053,1.27424,0.01248,0.0088,0.0088,0.0088
22,650.845,1.04367,1.19601,0.0128,0.72264,0.62656,0.70897,0.51763,1.03734,1.20314,0.01314,0.00874,0.00874,0.00874
