epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9942,3.3998,6.095,0.04793,0.00498,0.35008,0.00547,0.00122,3.23498,4.6702,0.04732,0.00331597,0.00331597,0.0701563
2,118.249,3.01316,4.3543,0.04357,0.08219,0.11872,0.03732,0.00996,2.42046,3.69935,0.03682,0.00660941,0.00660941,0.0401164
3,167.969,2.21242,3.13323,0.03026,0.22654,0.31507,0.19471,0.05996,1.96777,3.22594,0.02791,0.00986285,0.00986285,0.0100365
4,217.447,1.92744,2.72102,0.02518,0.35567,0.32572,0.26942,0.11414,1.83176,2.41271,0.02583,0.00982,0.00982,0.00982
5,266.93,1.77144,2.48834,0.02266,0.38451,0.30903,0.29508,0.14679,1.71879,2.33615,0.02421,0.00976,0.00976,0.00976
6,316.428,1.67798,2.33449,0.02127,0.46045,0.40791,0.39457,0.21126,1.59149,2.03426,0.02215,0.0097,0.0097,0.0097
7,365.995,1.60374,2.20975,0.02063,0.46624,0.39878,0.40194,0.21024,1.6452,2.03407,0.02285,0.00964,0.00964,0.00964
8,415.233,1.56209,2.12966,0.0198,0.52598,0.43227,0.45326,0.2679,1.46765,1.89976,0.01983,0.00958,0.00958,0.00958
9,464.889,1.51094,2.035,0.01906,0.52136,0.47489,0.4917,0.28191,1.4737,1.77255,0.01988,0.00952,0.00952,0.00952
10,514.328,1.47458,1.93104,0.01813,0.53211,0.49332,0.51058,0.30917,1.40154,1.7125,0.01866,0.00946,0.00946,0.00946
11,563.779,1.43435,1.90386,0.01775,0.50824,0.49315,0.50754,0.31465,1.39784,1.73162,0.01805,0.0094,0.0094,0.0094
12,613.218,1.39708,1.84588,0.01726,0.54884,0.50685,0.51497,0.33686,1.28497,1.69978,0.01693,0.00934,0.00934,0.00934
13,662.635,1.37093,1.7735,0.01683,0.56972,0.46271,0.51378,0.33234,1.3499,1.77287,0.01739,0.00928,0.00928,0.00928
14,711.863,1.3494,1.75192,0.01663,0.59114,0.47489,0.5304,0.35577,1.30189,1.64654,0.01656,0.00922,0.00922,0.00922
15,761.297,1.32227,1.7241,0.01636,0.58634,0.50381,0.54263,0.36324,1.31749,1.63051,0.01674,0.00916,0.00916,0.00916
16,810.818,1.29155,1.68008,0.01586,0.57559,0.50381,0.5667,0.37602,1.26403,1.52797,0.01631,0.0091,0.0091,0.0091
17,860.264,1.28569,1.68781,0.01584,0.6298,0.49315,0.55934,0.37026,1.26809,1.59336,0.0163,0.00904,0.00904,0.00904
18,909.541,1.25447,1.62843,0.01512,0.62343,0.53881,0.58629,0.39927,1.2088,1.45,0.0152,0.00898,0.00898,0.00898
19,959.022,1.25761,1.61191,0.01558,0.68339,0.47032,0.56473,0.39008,1.22879,1.55133,0.01572,0.00892,0.00892,0.00892
20,1008.31,1.22668,1.57655,0.01493,0.59099,0.54033,0.59331,0.41196,1.18639,1.48197,0.01499,0.00886,0.00886,0.00886
21,1057.78,1.2186,1.55292,0.01486,0.6317,0.50989,0.57403,0.40685,1.17003,1.55071,0.01479,0.0088,0.0088,0.0088
22,1107.12,1.2051,1.53012,0.01468,0.6978,0.51446,0.60911,0.43229,1.10101,1.43214,0.0133,0.00874,0.00874,0.00874
23,1156.53,1.17806,1.51126,0.01426,0.6243,0.52207,0.58165,0.41,1.1752,1.52309,0.01475,0.00868,0.00868,0.00868
24,1205.79,1.17939,1.48855,0.01428,0.66401,0.52511,0.61532,0.43584,1.13032,1.44777,0.01427,0.00862,0.00862,0.00862
25,1255.23,1.16497,1.46808,0.01391,0.66359,0.50441,0.60744,0.42765,1.1537,1.49634,0.01467,0.00856,0.00856,0.00856
26,1304.48,1.15837,1.43858,0.01381,0.57885,0.55556,0.59777,0.42636,1.15346,1.52888,0.01433,0.0085,0.0085,0.0085
27,1353.71,1.14312,1.42683,0.0137,0.62293,0.58143,0.60314,0.42522,1.14597,1.53673,0.0139,0.00844,0.00844,0.00844
28,1403.03,1.13546,1.39915,0.01344,0.71697,0.53729,0.62039,0.44708,1.11701,1.45578,0.01376,0.00838,0.00838,0.00838
29,1452.6,1.14086,1.41481,0.01373,0.61254,0.56317,0.60591,0.42712,1.12188,1.4991,0.01382,0.00832,0.00832,0.00832
30,1502.23,1.1139,1.36329,0.01344,0.64802,0.56164,0.62501,0.45524,1.08159,1.46013,0.01314,0.00826,0.00826,0.00826
31,1552.12,1.1142,1.36214,0.0132,0.64664,0.54314,0.61814,0.44564,1.09863,1.44599,0.01326,0.0082,0.0082,0.0082
32,1601.82,1.11009,1.3584,0.01332,0.66824,0.53651,0.61502,0.44864,1.09501,1.51912,0.01344,0.00814,0.00814,0.00814
33,1651.53,1.09803,1.32154,0.01311,0.6698,0.55099,0.63307,0.46114,1.10548,1.41172,0.01355,0.00808,0.00808,0.00808
34,1701.41,1.09206,1.32884,0.01299,0.68274,0.57534,0.65817,0.47611,1.09908,1.34118,0.01363,0.00802,0.00802,0.00802
35,1750.88,1.0803,1.29422,0.01283,0.72989,0.50381,0.61216,0.44927,1.09101,1.50946,0.01345,0.00796,0.00796,0.00796
36,1800.11,1.06673,1.28025,0.01284,0.71596,0.56164,0.64612,0.48178,1.064,1.41224,0.01317,0.0079,0.0079,0.0079
37,1849.57,1.06615,1.2712,0.01265,0.66607,0.55099,0.62103,0.45416,1.09937,1.50941,0.01367,0.00784,0.00784,0.00784
38,1898.84,1.05445,1.25369,0.01259,0.71421,0.54033,0.62349,0.46332,1.08193,1.58895,0.01307,0.00778,0.00778,0.00778
39,1948.05,1.06066,1.25451,0.01279,0.68224,0.5723,0.64914,0.47459,1.1065,1.4417,0.01359,0.00772,0.00772,0.00772
40,1997.38,1.03528,1.23167,0.01229,0.67658,0.55403,0.62006,0.47304,1.07275,1.564,0.01307,0.00766,0.00766,0.00766
41,2046.62,1.03333,1.2353,0.01252,0.71987,0.56164,0.65202,0.48391,1.08523,1.4373,0.01327,0.0076,0.0076,0.0076
42,2096.12,1.03713,1.20388,0.01225,0.73633,0.56925,0.65915,0.48987,1.06827,1.40636,0.01306,0.00754,0.00754,0.00754
43,2145.55,1.03401,1.21107,0.01226,0.71654,0.55556,0.63906,0.48008,1.07108,1.45893,0.01304,0.00748,0.00748,0.00748
44,2194.85,1.01622,1.18299,0.01203,0.70197,0.58436,0.65709,0.48525,1.06309,1.38951,0.01289,0.00742,0.00742,0.00742
45,2244.11,1.02375,1.16259,0.01233,0.66375,0.5997,0.65624,0.49236,1.05493,1.46669,0.01262,0.00736,0.00736,0.00736
46,2293.67,1.01084,1.14959,0.01211,0.68213,0.57839,0.65677,0.49923,1.03652,1.43095,0.01251,0.0073,0.0073,0.0073
47,2343.14,1.00502,1.1426,0.01205,0.66549,0.60258,0.65328,0.50354,1.05024,1.48593,0.01263,0.00724,0.00724,0.00724
48,2392.57,1.0047,1.12788,0.01201,0.73061,0.54902,0.63477,0.48635,1.05569,1.50776,0.01265,0.00718,0.00718,0.00718
