epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6959,3.26735,5.30736,0.04674,0.07656,0.07306,0.02744,0.00861,2.8116,3.43133,0.04337,0.00331597,0.00331597,0.0701563
2,131.908,2.56587,3.69254,0.03585,0.09847,0.14307,0.05091,0.01314,2.43461,4.05287,0.03943,0.00660941,0.00660941,0.0401164
3,180.435,1.99371,2.89769,0.02685,0.25305,0.25266,0.17091,0.065,1.80674,2.80223,0.02615,0.00986285,0.00986285,0.0100365
4,230.029,1.74624,2.52778,0.02287,0.33981,0.25875,0.23719,0.11688,1.61588,2.55631,0.02277,0.00982,0.00982,0.00982
5,280.05,1.59856,2.30097,0.02083,0.41239,0.40165,0.38011,0.21293,1.52184,1.99966,0.02065,0.00976,0.00976,0.00976
6,329.859,1.51288,2.11073,0.01956,0.48562,0.45205,0.44485,0.2525,1.41818,1.83307,0.01921,0.0097,0.0097,0.0097
7,382.211,1.46313,1.99474,0.01879,0.47183,0.49223,0.46517,0.27864,1.43972,1.81799,0.0192,0.00964,0.00964,0.00964
8,430.971,1.40307,1.89026,0.01756,0.55039,0.47489,0.50548,0.32031,1.33565,1.74894,0.01814,0.00958,0.00958,0.00958
9,480.114,1.3552,1.80399,0.01692,0.52286,0.43033,0.45484,0.30323,1.32627,1.86406,0.01755,0.00952,0.00952,0.00952
10,532.102,1.32238,1.76977,0.01649,0.51766,0.48842,0.48393,0.29779,1.38977,1.77678,0.01828,0.00946,0.00946,0.00946
11,582.134,1.29196,1.71694,0.01615,0.5425,0.52816,0.50992,0.34045,1.23408,1.67027,0.01599,0.0094,0.0094,0.0094
12,630.744,1.26374,1.66012,0.01558,0.5596,0.48545,0.52263,0.35175,1.23765,1.70565,0.01561,0.00934,0.00934,0.00934
13,680.483,1.2564,1.63322,0.01568,0.60688,0.4414,0.49192,0.3214,1.32636,1.96515,0.01759,0.00928,0.00928,0.00928
14,730.521,1.23071,1.59665,0.01533,0.57042,0.47793,0.4963,0.32002,1.33423,1.85477,0.01767,0.00922,0.00922,0.00922
15,778.08,1.19755,1.56929,0.01469,0.55984,0.50381,0.5342,0.36512,1.21384,1.64474,0.01554,0.00916,0.00916,0.00916
16,826.802,1.18003,1.52076,0.01442,0.61934,0.54033,0.59229,0.41087,1.14794,1.48253,0.01454,0.0091,0.0091,0.0091
17,873.569,1.16984,1.49785,0.01416,0.59728,0.55251,0.5852,0.42245,1.15339,1.52965,0.01452,0.00904,0.00904,0.00904
18,920.213,1.15535,1.48255,0.014,0.63317,0.51446,0.57664,0.39705,1.16746,1.49202,0.01452,0.00898,0.00898,0.00898
19,968.73,1.15767,1.4419,0.01421,0.6003,0.51892,0.5567,0.39031,1.16769,1.51024,0.01473,0.00892,0.00892,0.00892
20,1017.05,1.14152,1.41909,0.01402,0.62217,0.5586,0.59874,0.4299,1.10524,1.50589,0.01355,0.00886,0.00886,0.00886
21,1066.89,1.12342,1.40112,0.01363,0.66344,0.52664,0.61532,0.44172,1.11815,1.47819,0.01381,0.0088,0.0088,0.0088
22,1113.89,1.10059,1.37447,0.0132,0.63664,0.56773,0.62751,0.45139,1.10526,1.35459,0.01384,0.00874,0.00874,0.00874
23,1162.87,1.11126,1.39202,0.01365,0.60746,0.57839,0.62472,0.43742,1.13527,1.40865,0.01427,0.00868,0.00868,0.00868
24,1210.7,1.08123,1.35591,0.01306,0.64472,0.54033,0.61732,0.44831,1.07392,1.4898,0.0133,0.00862,0.00862,0.00862
25,1258.27,1.07345,1.32014,0.013,0.62558,0.50837,0.55841,0.39433,1.1371,1.63661,0.01405,0.00856,0.00856,0.00856
26,1306.19,1.06382,1.29487,0.01278,0.63003,0.58318,0.62858,0.46482,1.09838,1.3976,0.01384,0.0085,0.0085,0.0085
27,1354.72,1.05927,1.29478,0.01285,0.64741,0.53939,0.61292,0.44598,1.10193,1.41854,0.01368,0.00844,0.00844,0.00844
28,1402.1,1.05983,1.29528,0.01284,0.66346,0.55708,0.62537,0.45687,1.1182,1.42707,0.01374,0.00838,0.00838,0.00838
29,1449.64,1.05039,1.28176,0.01294,0.66253,0.55878,0.60812,0.44026,1.11586,1.59514,0.01383,0.00832,0.00832,0.00832
30,1497.11,1.03265,1.25242,0.01258,0.67795,0.56773,0.63818,0.47752,1.08505,1.40052,0.01319,0.00826,0.00826,0.00826
31,1543.84,1.02903,1.23017,0.01213,0.63453,0.57991,0.62496,0.46035,1.06314,1.46676,0.01312,0.0082,0.0082,0.0082
32,1589.63,1.03061,1.21598,0.01257,0.68459,0.56621,0.62726,0.45476,1.06692,1.44445,0.01307,0.00814,0.00814,0.00814
33,1638.49,1.0257,1.20538,0.01232,0.65398,0.59262,0.63863,0.46836,1.07801,1.4141,0.01331,0.00808,0.00808,0.00808
34,1687.06,0.99873,1.17615,0.01175,0.68518,0.5764,0.6403,0.47986,1.04794,1.43084,0.01272,0.00802,0.00802,0.00802
35,1736.32,1.00219,1.17896,0.01224,0.66055,0.58904,0.64975,0.48561,1.0571,1.3748,0.01263,0.00796,0.00796,0.00796
36,1784.95,0.99681,1.16433,0.0119,0.66398,0.57991,0.62794,0.46825,1.02744,1.51136,0.01251,0.0079,0.0079,0.0079
37,1833.5,0.9932,1.15604,0.012,0.73338,0.57359,0.66078,0.49408,1.0536,1.4299,0.01259,0.00784,0.00784,0.00784
38,1882.63,0.98455,1.15995,0.0119,0.73488,0.56012,0.65447,0.48939,1.03602,1.44279,0.0123,0.00778,0.00778,0.00778
39,1931.78,0.96661,1.10873,0.01157,0.65996,0.58491,0.64488,0.48554,1.06065,1.44863,0.01268,0.00772,0.00772,0.00772
40,1979.84,0.95667,1.10273,0.01151,0.75905,0.55251,0.65855,0.49845,1.05144,1.39731,0.01261,0.00766,0.00766,0.00766
41,2028.99,0.95978,1.07777,0.01162,0.68248,0.56012,0.62029,0.45934,1.10263,1.58905,0.01297,0.0076,0.0076,0.0076
42,2078.21,0.95548,1.08486,0.01134,0.70365,0.56773,0.64321,0.49056,1.04903,1.53315,0.01258,0.00754,0.00754,0.00754
43,2128.39,0.9477,1.05989,0.01118,0.72382,0.57382,0.64899,0.48516,1.05238,1.45698,0.01296,0.00748,0.00748,0.00748
44,2177.84,0.95806,1.05716,0.01131,0.72994,0.55951,0.64371,0.48884,1.05159,1.53896,0.01282,0.00742,0.00742,0.00742
45,2226.68,0.94082,1.06088,0.0111,0.71496,0.56012,0.64259,0.48545,1.07914,1.50894,0.013,0.00736,0.00736,0.00736
46,2275.63,0.94667,1.04207,0.01109,0.68796,0.55556,0.61598,0.46848,1.05291,1.59114,0.01244,0.0073,0.0073,0.0073
47,2325.79,0.94106,1.05588,0.01117,0.73504,0.56164,0.65049,0.49238,1.02353,1.43989,0.01221,0.00724,0.00724,0.00724
48,2376.5,0.92858,1.00934,0.01124,0.76418,0.54795,0.6491,0.49721,1.07785,1.56025,0.01304,0.00718,0.00718,0.00718
49,2424.61,0.92116,1.00558,0.01089,0.7178,0.56136,0.64918,0.50326,1.0481,1.5113,0.01254,0.00712,0.00712,0.00712
50,2473.08,0.93931,1.00945,0.01121,0.76047,0.56012,0.66397,0.49846,1.06037,1.57073,0.01252,0.00706,0.00706,0.00706
51,2519.19,0.91082,1.00334,0.01087,0.72175,0.58431,0.66026,0.50357,1.07312,1.49019,0.01265,0.007,0.007,0.007
52,2566.1,0.91603,0.99797,0.01089,0.66743,0.58447,0.63698,0.4842,1.095,1.55982,0.013,0.00694,0.00694,0.00694
53,2616.17,0.8991,0.95757,0.01065,0.71535,0.59209,0.6579,0.49846,1.05364,1.45025,0.01254,0.00688,0.00688,0.00688
54,2664.09,0.91601,0.98827,0.01094,0.69047,0.61948,0.66736,0.51301,1.05574,1.45758,0.01258,0.00682,0.00682,0.00682
55,2713.3,0.89541,0.95504,0.01066,0.71191,0.56794,0.6366,0.48425,1.05364,1.58854,0.01261,0.00676,0.00676,0.00676
56,2759.97,0.88244,0.95509,0.01039,0.71799,0.58295,0.66051,0.50352,1.03733,1.48539,0.01228,0.0067,0.0067,0.0067
57,2808.14,0.89251,0.94302,0.01071,0.72182,0.56477,0.6432,0.49408,1.03576,1.58057,0.01235,0.00664,0.00664,0.00664
58,2856.54,0.87214,0.91983,0.01028,0.71803,0.57078,0.63429,0.48595,1.05199,1.63426,0.01268,0.00658,0.00658,0.00658
59,2903.52,0.88021,0.93317,0.01029,0.6729,0.61644,0.66342,0.5055,1.04897,1.44442,0.01253,0.00652,0.00652,0.00652
60,2951.43,0.88445,0.91556,0.01031,0.72714,0.5997,0.67434,0.51278,1.05627,1.47668,0.01252,0.00646,0.00646,0.00646
61,3000.37,0.86691,0.90832,0.01023,0.75996,0.5586,0.65816,0.50958,1.05103,1.5699,0.0125,0.0064,0.0064,0.0064
62,3049.35,0.86528,0.91355,0.01032,0.7498,0.58843,0.67648,0.51837,1.06146,1.56493,0.01271,0.00634,0.00634,0.00634
63,3099.13,0.85244,0.89492,0.00999,0.70528,0.60465,0.66064,0.50181,1.06129,1.48956,0.01269,0.00628,0.00628,0.00628
64,3148.36,0.86481,0.88983,0.01003,0.71398,0.59817,0.65798,0.50951,1.03773,1.58912,0.01216,0.00622,0.00622,0.00622
65,3196.88,0.85821,0.88212,0.01026,0.80422,0.54186,0.66071,0.51113,1.05018,1.59341,0.01232,0.00616,0.00616,0.00616
66,3242.49,0.85201,0.88484,0.01023,0.74244,0.56598,0.65616,0.50468,1.0304,1.56621,0.0122,0.0061,0.0061,0.0061
67,3291.17,0.84858,0.87778,0.01015,0.73412,0.57997,0.6328,0.48957,1.068,1.72828,0.01279,0.00604,0.00604,0.00604
