epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5986,3.47956,6.29468,0.04941,0.00455,0.31963,0.00345,0.00088,3.26655,5.10807,0.04713,0.0033105,0.0033105,0.0702055
2,126.762,3.36495,5.09418,0.0479,0.00301,0.21157,0.00198,0.00048,3.78854,28.438,0.06479,0.00660397,0.00660397,0.0401656
3,171.752,2.55681,3.46526,0.03596,0.12637,0.22527,0.09297,0.02939,2.10109,4.0468,0.03004,0.00985744,0.00985744,0.0100858
4,216.81,2.06394,2.84832,0.02736,0.27137,0.20852,0.17756,0.06968,1.92945,2.76584,0.02739,0.00982,0.00982,0.00982
5,261.9,1.84657,2.58722,0.02386,0.34866,0.30594,0.27479,0.1379,1.76711,2.37556,0.0244,0.00976,0.00976,0.00976
6,307.03,1.74626,2.40199,0.02251,0.39808,0.3516,0.32445,0.16542,1.6643,2.30192,0.0232,0.0097,0.0097,0.0097
7,352.03,1.67627,2.25602,0.02104,0.42681,0.35769,0.35307,0.16601,1.73096,2.18062,0.02316,0.00964,0.00964,0.00964
8,397.001,1.59227,2.12109,0.02015,0.51411,0.38965,0.4014,0.2224,1.54278,2.08215,0.02103,0.00958,0.00958,0.00958
9,442.017,1.54249,2.02691,0.0192,0.54343,0.41848,0.44545,0.26484,1.50557,1.94953,0.01985,0.00952,0.00952,0.00952
10,486.984,1.49448,1.98263,0.0186,0.58692,0.44767,0.4804,0.28936,1.4396,1.82484,0.01911,0.00946,0.00946,0.00946
11,532.034,1.4518,1.92173,0.01813,0.53271,0.49163,0.48927,0.29102,1.40243,1.74739,0.01858,0.0094,0.0094,0.0094
12,577.049,1.41679,1.86785,0.01752,0.566,0.48858,0.52619,0.33672,1.33305,1.65965,0.01731,0.00934,0.00934,0.00934
13,622.13,1.38683,1.8144,0.01716,0.60666,0.44901,0.52441,0.34281,1.28972,1.70379,0.01662,0.00928,0.00928,0.00928
14,667.221,1.36657,1.76783,0.01681,0.56024,0.45053,0.50352,0.33163,1.24834,1.73053,0.01637,0.00922,0.00922,0.00922
15,712.047,1.33126,1.74615,0.01648,0.58142,0.51142,0.54762,0.3535,1.2679,1.59141,0.01622,0.00916,0.00916,0.00916
16,757.073,1.30553,1.68548,0.01581,0.57785,0.48858,0.54118,0.35527,1.26924,1.64165,0.01639,0.0091,0.0091,0.0091
17,802.125,1.2884,1.66887,0.01578,0.61614,0.50989,0.55383,0.36757,1.27012,1.61493,0.01635,0.00904,0.00904,0.00904
18,847.147,1.27003,1.63408,0.01537,0.59138,0.51988,0.55789,0.36739,1.27473,1.55169,0.01632,0.00898,0.00898,0.00898
