epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.917,3.37637,5.6678,0.04753,0.00496,0.34855,0.00484,0.00116,3.21018,3.98647,0.04673,0.00331597,0.00331597,0.0701563
2,129.94,3.22893,4.59699,0.04706,0.00597,0.42009,0.01272,0.00294,2.96597,3.42082,0.0439,0.00660941,0.00660941,0.0401164
3,193.622,2.64091,3.68836,0.03743,0.17702,0.19787,0.08549,0.02154,2.3156,7.94566,0.03518,0.00986285,0.00986285,0.0100365
4,257.142,2.04165,2.94502,0.02735,0.26872,0.29528,0.21977,0.09816,1.7402,2.80501,0.02454,0.00982,0.00982,0.00982
5,320.572,1.78465,2.59036,0.02319,0.28078,0.34551,0.25578,0.11548,1.6337,2.38144,0.02292,0.00976,0.00976,0.00976
6,384.135,1.66167,2.38413,0.02148,0.40645,0.30538,0.2951,0.14783,1.64905,2.3909,0.02343,0.0097,0.0097,0.0097
7,447.634,1.58071,2.24348,0.02072,0.45005,0.42161,0.38777,0.22412,1.50615,2.03697,0.02058,0.00964,0.00964,0.00964
8,510.578,1.53043,2.14062,0.0198,0.45467,0.40791,0.4102,0.23794,1.47027,1.90588,0.02012,0.00958,0.00958,0.00958
9,573.482,1.47075,2.05622,0.01895,0.48546,0.48858,0.46117,0.279,1.39558,1.78313,0.01871,0.00952,0.00952,0.00952
10,636.47,1.42255,1.93943,0.01773,0.49537,0.46617,0.46296,0.29387,1.3687,1.86516,0.01858,0.00946,0.00946,0.00946
11,699.329,1.39964,1.9179,0.01758,0.49228,0.44901,0.46044,0.28938,1.35933,1.83893,0.01817,0.0094,0.0094,0.0094
12,762.164,1.34673,1.84928,0.0168,0.52387,0.4825,0.48422,0.3226,1.2711,1.73203,0.01697,0.00934,0.00934,0.00934
13,825.152,1.31321,1.76284,0.01622,0.52547,0.48204,0.50273,0.33382,1.19771,1.65324,0.01557,0.00928,0.00928,0.00928
14,887.884,1.29235,1.75256,0.01613,0.50681,0.48097,0.5011,0.34108,1.26513,1.7403,0.01639,0.00922,0.00922,0.00922
15,950.758,1.27813,1.72197,0.01594,0.60594,0.48858,0.5408,0.36662,1.26113,1.66142,0.01617,0.00916,0.00916,0.00916
16,1013.6,1.23489,1.67951,0.01537,0.56852,0.50076,0.51153,0.33485,1.24499,1.71748,0.01573,0.0091,0.0091,0.0091
17,1076.46,1.24813,1.67932,0.01557,0.56124,0.50533,0.52163,0.35086,1.22853,1.70174,0.01557,0.00904,0.00904,0.00904
18,1139.22,1.21323,1.61682,0.01481,0.55083,0.57839,0.57595,0.39927,1.17249,1.46231,0.01541,0.00898,0.00898,0.00898
19,1202.03,1.20936,1.61679,0.0151,0.61185,0.54947,0.57098,0.39821,1.1526,1.56741,0.01471,0.00892,0.00892,0.00892
20,1264.75,1.18413,1.57342,0.01444,0.60101,0.54186,0.58651,0.40998,1.20078,1.49578,0.01542,0.00886,0.00886,0.00886
21,1327.69,1.1759,1.56933,0.01449,0.63709,0.50685,0.57829,0.41551,1.13888,1.53437,0.01437,0.0088,0.0088,0.0088
22,1390.45,1.16701,1.5184,0.01435,0.64053,0.53729,0.58219,0.41037,1.13645,1.44698,0.01419,0.00874,0.00874,0.00874
23,1453.23,1.14416,1.49734,0.01411,0.61325,0.5723,0.6047,0.41238,1.12035,1.40992,0.01433,0.00868,0.00868,0.00868
24,1516.03,1.14201,1.47751,0.01397,0.66625,0.53272,0.60335,0.43343,1.09276,1.52458,0.01359,0.00862,0.00862,0.00862
25,1579.07,1.12804,1.46627,0.01365,0.61781,0.56012,0.59387,0.42188,1.12432,1.50663,0.01388,0.00856,0.00856,0.00856
26,1641.91,1.12851,1.44571,0.01357,0.62162,0.58262,0.62684,0.45348,1.08553,1.39084,0.0137,0.0085,0.0085,0.0085
27,1704.93,1.11067,1.43289,0.01342,0.67907,0.56773,0.64205,0.45484,1.13251,1.31036,0.0142,0.00844,0.00844,0.00844
28,1767.95,1.09087,1.40555,0.01309,0.68693,0.57686,0.62394,0.46148,1.06247,1.37026,0.01308,0.00838,0.00838,0.00838
29,1831.01,1.09598,1.42589,0.01328,0.62405,0.55079,0.59411,0.43041,1.11545,1.50624,0.01393,0.00832,0.00832,0.00832
30,1893.86,1.08075,1.35518,0.0131,0.68424,0.52968,0.61543,0.44992,1.09708,1.48197,0.01354,0.00826,0.00826,0.00826
31,1956.72,1.08441,1.36445,0.01298,0.65925,0.57839,0.64903,0.46448,1.0729,1.3935,0.01327,0.0082,0.0082,0.0082
32,2019.74,1.08312,1.36232,0.01314,0.68024,0.54947,0.62418,0.46288,1.03047,1.46211,0.01253,0.00814,0.00814,0.00814
33,2082.55,1.06338,1.32325,0.01278,0.65061,0.58904,0.63533,0.47394,1.0605,1.40126,0.01325,0.00808,0.00808,0.00808
34,2145.53,1.05958,1.31241,0.01264,0.68316,0.56925,0.6474,0.48913,1.02936,1.37644,0.0124,0.00802,0.00802,0.00802
35,2208.53,1.06088,1.2976,0.01269,0.67709,0.55708,0.63178,0.47386,1.05714,1.38492,0.01299,0.00796,0.00796,0.00796
36,2271.21,1.04449,1.27951,0.01273,0.66958,0.60426,0.6394,0.46122,1.06945,1.38195,0.013,0.0079,0.0079,0.0079
37,2333.97,1.03911,1.28303,0.01247,0.63958,0.57686,0.62868,0.47078,1.05617,1.44322,0.01308,0.00784,0.00784,0.00784
38,2396.76,1.03028,1.24617,0.01236,0.71276,0.55556,0.64306,0.4869,1.03292,1.44374,0.01246,0.00778,0.00778,0.00778
39,2459.53,1.04189,1.25369,0.01264,0.69144,0.57839,0.6619,0.48486,1.04804,1.32163,0.01284,0.00772,0.00772,0.00772
40,2522.38,1.01052,1.23108,0.01207,0.72478,0.53881,0.63996,0.48775,1.04789,1.51011,0.01267,0.00766,0.00766,0.00766
41,2585.27,1.01368,1.22543,0.01237,0.67461,0.58063,0.64689,0.47742,1.05302,1.40731,0.01276,0.0076,0.0076,0.0076
42,2648.12,1.01283,1.21674,0.01216,0.63993,0.63014,0.65231,0.48862,1.03113,1.36871,0.01253,0.00754,0.00754,0.00754
43,2710.92,1.00677,1.189,0.01196,0.69084,0.5918,0.65717,0.48798,1.02659,1.41874,0.0124,0.00748,0.00748,0.00748
44,2773.78,0.9998,1.18689,0.01191,0.69368,0.56773,0.64389,0.49319,1.03089,1.42921,0.01216,0.00742,0.00742,0.00742
45,2836.91,1.00003,1.1613,0.01207,0.68454,0.59361,0.65959,0.49383,1.05102,1.3651,0.0127,0.00736,0.00736,0.00736
46,2899.99,0.9885,1.1527,0.01194,0.68858,0.61948,0.66458,0.49918,1.05698,1.39488,0.01305,0.0073,0.0073,0.0073
47,2963.08,0.98216,1.15823,0.01181,0.73178,0.58904,0.6639,0.49963,1.04521,1.33579,0.01254,0.00724,0.00724,0.00724
48,3026.2,0.98296,1.14856,0.01182,0.71281,0.56012,0.64588,0.48479,1.03139,1.41908,0.01246,0.00718,0.00718,0.00718
49,3089.2,0.96554,1.12243,0.0115,0.74288,0.59361,0.66842,0.50077,1.03306,1.40153,0.01264,0.00712,0.00712,0.00712
50,3152.01,0.98012,1.12503,0.01159,0.69761,0.58752,0.64185,0.48759,1.03513,1.57592,0.01239,0.00706,0.00706,0.00706
51,3214.87,0.97882,1.12125,0.01157,0.67576,0.62253,0.65272,0.49055,1.02752,1.42429,0.01242,0.007,0.007,0.007
52,3277.81,0.96576,1.09056,0.01146,0.71766,0.60274,0.65844,0.50275,1.04368,1.44203,0.0125,0.00694,0.00694,0.00694
53,3341.09,0.96085,1.08611,0.01153,0.74685,0.53885,0.63094,0.4893,1.041,1.47039,0.01252,0.00688,0.00688,0.00688
54,3404.13,0.95212,1.0888,0.01147,0.70539,0.586,0.6563,0.50212,1.0526,1.38053,0.01268,0.00682,0.00682,0.00682
55,3467.13,0.93778,1.06393,0.01113,0.73049,0.56519,0.65988,0.50509,1.01058,1.48293,0.0121,0.00676,0.00676,0.00676
56,3530.41,0.93388,1.03548,0.011,0.72439,0.58295,0.65183,0.49162,1.03784,1.47519,0.01272,0.0067,0.0067,0.0067
57,3593.4,0.94404,1.05992,0.01138,0.73033,0.58447,0.67241,0.50119,1.05559,1.46769,0.01304,0.00664,0.00664,0.00664
58,3656.25,0.93079,1.04827,0.01101,0.68396,0.58447,0.65476,0.51252,0.99358,1.50222,0.01182,0.00658,0.00658,0.00658
59,3719.32,0.91922,1.03266,0.01084,0.70432,0.59513,0.66865,0.5231,0.99866,1.42197,0.01181,0.00652,0.00652,0.00652
60,3782.35,0.92718,1.0408,0.01103,0.77443,0.56012,0.6711,0.51797,1.01374,1.46178,0.01232,0.00646,0.00646,0.00646
61,3845.19,0.92053,1.02627,0.01082,0.68736,0.586,0.65296,0.50425,1.01008,1.54614,0.01213,0.0064,0.0064,0.0064
62,3908.06,0.92115,1.00483,0.01093,0.72537,0.59817,0.65461,0.51048,1.01183,1.49411,0.01214,0.00634,0.00634,0.00634
63,3971.03,0.9074,0.97438,0.01058,0.68494,0.59056,0.64499,0.49322,1.01571,1.57687,0.01218,0.00628,0.00628,0.00628
64,4034.04,0.91311,0.99681,0.01081,0.75018,0.58143,0.65819,0.51189,1.03896,1.51067,0.01267,0.00622,0.00622,0.00622
65,4097,0.90522,0.96019,0.01071,0.73002,0.59361,0.65761,0.51215,1.01474,1.5735,0.01203,0.00616,0.00616,0.00616
66,4159.99,0.89827,0.97773,0.01067,0.76613,0.60426,0.67349,0.52131,1.01673,1.51219,0.01221,0.0061,0.0061,0.0061
67,4222.93,0.90059,0.98284,0.01053,0.73235,0.59665,0.65776,0.51619,0.99591,1.54743,0.01171,0.00604,0.00604,0.00604
68,4285.82,0.8814,0.94571,0.01054,0.74073,0.60731,0.68719,0.54295,0.9776,1.4083,0.01156,0.00598,0.00598,0.00598
