epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.121,1.99772,4.40392,0.02809,0.22885,0.09589,0.09121,0.04747,1.49164,3.18673,0.021,0.00331597,0.00331597,0.0701563
2,69.234,1.4922,2.78161,0.02065,0.22218,0.1583,0.10524,0.0519,2.23091,3.13232,0.034,0.00660941,0.00660941,0.0401164
3,94.1843,1.42182,2.06144,0.01964,0.57021,0.39117,0.43181,0.23555,1.6483,2.02029,0.02386,0.00986285,0.00986285,0.0100365
4,119.023,1.39452,1.90239,0.01878,0.54627,0.45662,0.48823,0.31088,1.34025,1.91152,0.01879,0.00982,0.00982,0.00982
5,143.198,1.32514,1.75917,0.01728,0.58855,0.53577,0.56358,0.37127,1.23263,1.59118,0.01651,0.00976,0.00976,0.00976
6,167.536,1.28251,1.65344,0.01639,0.59755,0.52664,0.57122,0.38486,1.21155,1.59429,0.01642,0.0097,0.0097,0.0097
7,192.502,1.25621,1.62306,0.01627,0.62816,0.49315,0.54618,0.36665,1.23365,1.66578,0.0163,0.00964,0.00964,0.00964
8,217.367,1.23183,1.5734,0.01562,0.6303,0.49163,0.57325,0.39431,1.18952,1.57024,0.01577,0.00958,0.00958,0.00958
9,242.386,1.20679,1.52592,0.01538,0.5685,0.56012,0.58548,0.39674,1.1789,1.46965,0.01548,0.00952,0.00952,0.00952
10,267.268,1.18295,1.47134,0.01465,0.64596,0.5312,0.60718,0.42355,1.1314,1.47506,0.01481,0.00946,0.00946,0.00946
11,292.112,1.18386,1.48715,0.01468,0.64775,0.52664,0.60643,0.43389,1.10443,1.51191,0.01418,0.0094,0.0094,0.0094
12,317.033,1.14796,1.42658,0.0142,0.6814,0.51433,0.59086,0.42804,1.11155,1.58653,0.01413,0.00934,0.00934,0.00934
13,341.728,1.12821,1.37136,0.01379,0.63509,0.54186,0.60231,0.43813,1.10684,1.43194,0.01402,0.00928,0.00928,0.00928
14,365.783,1.12945,1.37038,0.01393,0.66404,0.58295,0.65516,0.46857,1.08957,1.36926,0.01401,0.00922,0.00922,0.00922
15,390.362,1.10994,1.36378,0.01377,0.65277,0.586,0.65111,0.46477,1.09414,1.37174,0.01387,0.00916,0.00916,0.00916
16,415.06,1.09623,1.32155,0.01356,0.64863,0.56756,0.63674,0.44659,1.14279,1.40538,0.01441,0.0091,0.0091,0.0091
17,439.788,1.10177,1.33508,0.01358,0.63674,0.60426,0.64868,0.46752,1.05524,1.32692,0.01326,0.00904,0.00904,0.00904
18,464.396,1.08605,1.28031,0.01318,0.65481,0.621,0.66056,0.4737,1.09887,1.37314,0.01405,0.00898,0.00898,0.00898
19,488.019,1.08168,1.28845,0.01343,0.67796,0.58143,0.63435,0.46272,1.06828,1.39419,0.01323,0.00892,0.00892,0.00892
20,511.358,1.0643,1.22778,0.01291,0.6333,0.61035,0.64676,0.47848,1.05708,1.38565,0.01328,0.00886,0.00886,0.00886
21,534.987,1.06091,1.23019,0.01306,0.64898,0.60274,0.64747,0.48521,1.05224,1.3862,0.01311,0.0088,0.0088,0.0088
22,559.989,1.04025,1.20662,0.01271,0.66113,0.61948,0.66459,0.49314,1.0584,1.40566,0.01315,0.00874,0.00874,0.00874
23,584.929,1.0301,1.2014,0.01257,0.61164,0.64688,0.65641,0.48829,1.02891,1.38089,0.01275,0.00868,0.00868,0.00868
24,609.693,1.03586,1.17742,0.01258,0.67662,0.62405,0.68439,0.50863,1.00909,1.29653,0.01217,0.00862,0.00862,0.00862
25,634.674,1.02486,1.15467,0.01231,0.68065,0.59691,0.66636,0.49363,1.03456,1.31626,0.01302,0.00856,0.00856,0.00856
26,659.465,1.02085,1.15722,0.01223,0.68491,0.61207,0.6861,0.51042,1.02472,1.3153,0.01287,0.0085,0.0085,0.0085
27,684.504,1.01482,1.12842,0.01221,0.65268,0.62926,0.66528,0.48264,1.07938,1.2955,0.01379,0.00844,0.00844,0.00844
28,709.388,0.98844,1.14434,0.01178,0.68548,0.54033,0.6048,0.45182,1.08662,1.60916,0.01332,0.00838,0.00838,0.00838
29,734.052,0.99787,1.1394,0.0121,0.67761,0.62861,0.67375,0.50472,1.04546,1.3335,0.01312,0.00832,0.00832,0.00832
30,758.889,0.9834,1.09952,0.01186,0.69051,0.59209,0.67201,0.50649,1.02869,1.36017,0.01248,0.00826,0.00826,0.00826
31,783.742,0.9841,1.09578,0.01176,0.68839,0.64536,0.6963,0.52048,1.02385,1.31366,0.01257,0.0082,0.0082,0.0082
32,808.718,0.98119,1.07682,0.01179,0.71802,0.63166,0.6936,0.52819,1.01292,1.29652,0.0126,0.00814,0.00814,0.00814
33,833.691,0.97301,1.05569,0.01157,0.71449,0.62557,0.67733,0.50947,0.98522,1.38126,0.01207,0.00808,0.00808,0.00808
34,858.431,0.96795,1.06779,0.01157,0.69833,0.64688,0.70517,0.53361,1.00216,1.3615,0.01207,0.00802,0.00802,0.00802
35,883.479,0.96866,1.04281,0.01147,0.79857,0.56773,0.6898,0.5162,0.979,1.34318,0.01183,0.00796,0.00796,0.00796
36,908.274,0.96215,1.01533,0.01173,0.70012,0.64536,0.68505,0.51365,1.03975,1.33424,0.01296,0.0079,0.0079,0.0079
