epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3074,3.48616,6.56229,0.05057,0.00485,0.34094,0.00525,0.00145,3.22226,4.96417,0.04645,0.00329861,0.00329861,0.0703125
2,72.4144,3.32414,4.77941,0.04758,0.01995,0.06697,0.00703,0.00164,2.79344,5.21641,0.0433,0.00659215,0.00659215,0.0402727
3,99.9732,2.77512,3.52215,0.04005,0.04853,0.15677,0.02461,0.00644,2.42905,10.1673,0.03697,0.00984569,0.00984569,0.0101929
4,127.516,2.27741,3.01457,0.03102,0.10233,0.20244,0.0561,0.01675,2.21091,3.74264,0.0327,0.00982,0.00982,0.00982
5,155.061,2.02485,2.74961,0.02694,0.24036,0.19987,0.14132,0.05621,1.96192,2.82964,0.02782,0.00976,0.00976,0.00976
6,182.555,1.89805,2.57765,0.02465,0.36438,0.28463,0.25851,0.11954,1.74602,2.45673,0.02444,0.0097,0.0097,0.0097
7,210.15,1.80219,2.44066,0.0229,0.38955,0.29985,0.29129,0.1435,1.69687,2.29945,0.02313,0.00964,0.00964,0.00964
8,237.697,1.72262,2.3626,0.02211,0.37631,0.3251,0.28727,0.13822,1.77806,2.37904,0.02402,0.00958,0.00958,0.00958
9,265.236,1.65743,2.239,0.02082,0.44235,0.42009,0.41678,0.23652,1.53331,1.93866,0.02033,0.00952,0.00952,0.00952
10,292.773,1.62716,2.16453,0.02019,0.5045,0.40335,0.43314,0.24219,1.54703,1.93431,0.02066,0.00946,0.00946,0.00946
11,320.335,1.58081,2.07399,0.01959,0.52241,0.41705,0.44566,0.24411,1.5788,1.93403,0.02075,0.0094,0.0094,0.0094
12,347.791,1.54346,2.03063,0.01931,0.57753,0.44901,0.50113,0.29699,1.4124,1.71807,0.01848,0.00934,0.00934,0.00934
13,375.468,1.51094,1.97794,0.01885,0.53469,0.35616,0.40379,0.24409,1.54599,2.05738,0.02121,0.00928,0.00928,0.00928
14,402.642,1.47192,1.93017,0.01834,0.60523,0.44292,0.50608,0.31229,1.40211,1.71176,0.01804,0.00922,0.00922,0.00922
15,429.657,1.44937,1.89707,0.01774,0.58175,0.47032,0.51278,0.33568,1.32461,1.66041,0.01727,0.00916,0.00916,0.00916
16,456.678,1.42431,1.8647,0.0179,0.53519,0.47184,0.4943,0.31718,1.30181,1.69055,0.01668,0.0091,0.0091,0.0091
17,483.73,1.41659,1.83332,0.01744,0.52536,0.51142,0.51714,0.33212,1.34011,1.57932,0.0175,0.00904,0.00904,0.00904
18,510.675,1.39945,1.83671,0.01717,0.54031,0.45967,0.49214,0.31531,1.36829,1.7315,0.01794,0.00898,0.00898,0.00898
19,537.541,1.36972,1.76251,0.01688,0.62406,0.46996,0.54143,0.3626,1.28202,1.5793,0.01608,0.00892,0.00892,0.00892
20,564.562,1.34985,1.72886,0.01659,0.54955,0.5175,0.543,0.37732,1.20621,1.53921,0.01566,0.00886,0.00886,0.00886
21,591.514,1.34494,1.70929,0.01619,0.56786,0.49011,0.5294,0.36291,1.29459,1.64788,0.0163,0.0088,0.0088,0.0088
22,618.462,1.32659,1.69657,0.01625,0.60999,0.52373,0.57307,0.39128,1.22086,1.54216,0.01563,0.00874,0.00874,0.00874
23,645.508,1.3178,1.69089,0.01607,0.60707,0.50533,0.57471,0.37989,1.27293,1.4798,0.01621,0.00868,0.00868,0.00868
24,672.495,1.30107,1.66628,0.01581,0.60811,0.54322,0.59212,0.40929,1.17223,1.47149,0.015,0.00862,0.00862,0.00862
25,699.489,1.27773,1.61801,0.01543,0.57553,0.54897,0.59307,0.40931,1.18785,1.45182,0.01526,0.00856,0.00856,0.00856
26,726.521,1.26455,1.58439,0.01552,0.66364,0.54656,0.61567,0.43221,1.17146,1.38071,0.01449,0.0085,0.0085,0.0085
27,753.542,1.25419,1.59665,0.01518,0.55574,0.51903,0.53902,0.37191,1.18232,1.59826,0.0149,0.00844,0.00844,0.00844
28,780.487,1.25677,1.57781,0.01531,0.63573,0.518,0.60567,0.42628,1.15713,1.36516,0.01472,0.00838,0.00838,0.00838
29,807.401,1.23356,1.54304,0.01471,0.6237,0.54186,0.60429,0.43279,1.1402,1.38845,0.01385,0.00832,0.00832,0.00832
30,834.449,1.24256,1.54032,0.01516,0.60511,0.56012,0.6037,0.43077,1.15037,1.48696,0.01417,0.00826,0.00826,0.00826
31,861.362,1.20821,1.52399,0.0146,0.66496,0.51294,0.60199,0.41923,1.13677,1.411,0.01407,0.0082,0.0082,0.0082
32,888.341,1.21028,1.51506,0.01458,0.60847,0.57686,0.60228,0.42411,1.13068,1.39114,0.01443,0.00814,0.00814,0.00814
33,915.383,1.20219,1.48181,0.01451,0.58125,0.54795,0.59849,0.41881,1.18296,1.45632,0.01482,0.00808,0.00808,0.00808
34,942.374,1.21006,1.47124,0.01471,0.64239,0.55556,0.6237,0.44241,1.13067,1.30821,0.01424,0.00802,0.00802,0.00802
35,969.468,1.17989,1.43733,0.01396,0.68545,0.53732,0.63256,0.45241,1.13293,1.34228,0.01405,0.00796,0.00796,0.00796
36,996.413,1.18415,1.44283,0.01429,0.65218,0.52055,0.58613,0.41839,1.15638,1.4941,0.01433,0.0079,0.0079,0.0079
37,1023.38,1.16375,1.43054,0.01393,0.64244,0.54033,0.60462,0.43697,1.09059,1.40614,0.01327,0.00784,0.00784,0.00784
38,1050.33,1.17372,1.43084,0.0142,0.6562,0.58904,0.63251,0.45781,1.09447,1.34727,0.01341,0.00778,0.00778,0.00778
39,1077.34,1.15035,1.40732,0.01382,0.71994,0.51294,0.61304,0.44627,1.09787,1.4934,0.01338,0.00772,0.00772,0.00772
40,1104.33,1.15643,1.39786,0.0137,0.63399,0.55251,0.61927,0.45054,1.09928,1.38227,0.01338,0.00766,0.00766,0.00766
41,1131.32,1.13569,1.37169,0.01357,0.67807,0.56164,0.63508,0.46221,1.09265,1.35694,0.01349,0.0076,0.0076,0.0076
42,1158.35,1.1439,1.37418,0.01372,0.66213,0.53577,0.61155,0.44648,1.08778,1.46428,0.01333,0.00754,0.00754,0.00754
43,1185.3,1.12458,1.36926,0.01361,0.73115,0.55708,0.65416,0.46937,1.10272,1.29981,0.01357,0.00748,0.00748,0.00748
44,1212.3,1.11781,1.34036,0.01345,0.65047,0.56773,0.62561,0.45106,1.10875,1.38989,0.01389,0.00742,0.00742,0.00742
45,1239.25,1.12407,1.33956,0.01344,0.71515,0.53577,0.63717,0.46462,1.08054,1.41882,0.01316,0.00736,0.00736,0.00736
46,1266.27,1.12014,1.32725,0.01342,0.66074,0.60578,0.65152,0.47813,1.05833,1.35579,0.01323,0.0073,0.0073,0.0073
47,1293.32,1.10973,1.31825,0.01316,0.68986,0.55185,0.63964,0.47079,1.05725,1.28915,0.01291,0.00724,0.00724,0.00724
48,1320.24,1.09981,1.29026,0.01323,0.62425,0.47336,0.54337,0.36562,1.3103,1.65677,0.01664,0.00718,0.00718,0.00718
49,1347.16,1.09677,1.29512,0.01304,0.66158,0.60731,0.66604,0.48689,1.06976,1.30883,0.01306,0.00712,0.00712,0.00712
50,1374.16,1.10444,1.30852,0.01287,0.73028,0.5312,0.64036,0.47389,1.06281,1.3074,0.01309,0.00706,0.00706,0.00706
51,1401.11,1.09725,1.2789,0.01294,0.7357,0.52207,0.63368,0.46692,1.07735,1.46201,0.01334,0.007,0.007,0.007
52,1428.11,1.08277,1.25081,0.01293,0.67245,0.58295,0.64294,0.47358,1.07461,1.37428,0.01311,0.00694,0.00694,0.00694
53,1455.1,1.0724,1.24542,0.01253,0.69829,0.57421,0.66314,0.49028,1.05729,1.27567,0.01301,0.00688,0.00688,0.00688
54,1482.2,1.07095,1.24986,0.01267,0.68547,0.57991,0.6478,0.49055,1.01632,1.38619,0.01238,0.00682,0.00682,0.00682
55,1509.2,1.07822,1.23619,0.01278,0.68182,0.55403,0.64112,0.47287,1.07614,1.43533,0.01308,0.00676,0.00676,0.00676
56,1536.1,1.07081,1.22228,0.01252,0.7149,0.55708,0.65109,0.48118,1.07336,1.31415,0.01305,0.0067,0.0067,0.0067
57,1563.05,1.06412,1.21206,0.01257,0.72173,0.57686,0.66731,0.49981,1.0412,1.29232,0.01265,0.00664,0.00664,0.00664
58,1590.09,1.05175,1.20879,0.01233,0.69642,0.57262,0.65632,0.48697,1.06855,1.3545,0.01289,0.00658,0.00658,0.00658
59,1617.07,1.04902,1.18884,0.01243,0.71315,0.56621,0.65432,0.48588,1.06844,1.37364,0.01291,0.00652,0.00652,0.00652
60,1644,1.0516,1.19821,0.01252,0.64311,0.61492,0.66381,0.49863,1.02761,1.35015,0.01257,0.00646,0.00646,0.00646
61,1670.94,1.04095,1.17736,0.01218,0.66431,0.62709,0.66917,0.50198,1.02914,1.27936,0.01248,0.0064,0.0064,0.0064
62,1698.02,1.03402,1.18927,0.01204,0.69976,0.586,0.65702,0.49766,1.0287,1.34661,0.01232,0.00634,0.00634,0.00634
63,1725.02,1.02744,1.16996,0.01237,0.70947,0.57534,0.6704,0.49651,1.06962,1.33315,0.01346,0.00628,0.00628,0.00628
64,1751.98,1.03257,1.1681,0.01228,0.71034,0.586,0.66172,0.4908,1.03782,1.3384,0.01253,0.00622,0.00622,0.00622
65,1778.9,1.0251,1.14603,0.01202,0.73591,0.56411,0.66075,0.49097,1.04496,1.36812,0.01263,0.00616,0.00616,0.00616
66,1805.92,1.01619,1.12644,0.01192,0.73038,0.5896,0.67205,0.49756,1.02898,1.31335,0.01243,0.0061,0.0061,0.0061
67,1832.92,1.02252,1.14323,0.01189,0.69108,0.59248,0.65477,0.49214,1.03911,1.33945,0.01263,0.00604,0.00604,0.00604
68,1859.88,1.02257,1.1269,0.01223,0.77256,0.53425,0.65222,0.48129,1.07295,1.37191,0.01302,0.00598,0.00598,0.00598
69,1886.8,1.00371,1.12345,0.01168,0.72326,0.55556,0.65047,0.49443,1.02494,1.43606,0.01242,0.00592,0.00592,0.00592
70,1913.85,1.00572,1.12057,0.01192,0.74236,0.55708,0.66016,0.50045,1.03778,1.42403,0.0125,0.00586,0.00586,0.00586
71,1940.71,1.00302,1.10349,0.01173,0.66256,0.59817,0.65254,0.4987,1.03625,1.39279,0.01265,0.0058,0.0058,0.0058
72,1967.63,0.99757,1.08332,0.0118,0.70067,0.57382,0.6536,0.48318,1.05218,1.4646,0.01285,0.00574,0.00574,0.00574
73,1994.56,0.98076,1.07696,0.0116,0.7315,0.58143,0.66034,0.50401,1.02578,1.38352,0.01224,0.00568,0.00568,0.00568
74,2021.59,0.99765,1.08095,0.01175,0.69497,0.5826,0.65271,0.49035,1.05497,1.411,0.01271,0.00562,0.00562,0.00562
75,2048.55,0.98614,1.07939,0.0117,0.65749,0.58295,0.63961,0.48345,1.0272,1.46947,0.01265,0.00556,0.00556,0.00556
76,2075.55,0.97077,1.05119,0.01136,0.67907,0.61187,0.66886,0.50561,1.02875,1.29401,0.01241,0.0055,0.0055,0.0055
77,2102.55,0.97349,1.06775,0.0114,0.68579,0.59513,0.65358,0.4955,1.05119,1.4592,0.01249,0.00544,0.00544,0.00544
78,2129.48,0.97241,1.04373,0.01149,0.74576,0.53577,0.65791,0.504,1.04324,1.41389,0.01254,0.00538,0.00538,0.00538
79,2156.43,0.97125,1.03975,0.01161,0.71446,0.57888,0.65462,0.50021,1.01296,1.44593,0.0119,0.00532,0.00532,0.00532
80,2183.42,0.96454,1.02133,0.01137,0.75393,0.56164,0.6615,0.50099,1.0281,1.43029,0.01223,0.00526,0.00526,0.00526
81,2210.44,0.96846,1.04177,0.01142,0.67277,0.59361,0.65433,0.49921,1.04213,1.38454,0.01242,0.0052,0.0052,0.0052
82,2237.35,0.94995,1.03382,0.01126,0.6953,0.57382,0.64156,0.48882,1.04056,1.50195,0.01251,0.00514,0.00514,0.00514
83,2264.33,0.95268,1.02355,0.01128,0.72751,0.57839,0.65914,0.50522,1.01335,1.41109,0.0119,0.00508,0.00508,0.00508
84,2291.32,0.95045,1.0244,0.01103,0.71686,0.58752,0.65301,0.49809,1.02073,1.43574,0.01197,0.00502,0.00502,0.00502
85,2318.31,0.95177,1.01055,0.0111,0.72937,0.5907,0.66398,0.50898,1.01678,1.43486,0.01207,0.00496,0.00496,0.00496
86,2345.3,0.93748,1.0184,0.01104,0.7283,0.55403,0.64069,0.49569,1.02068,1.48222,0.01224,0.0049,0.0049,0.0049
87,2372.2,0.93643,0.98393,0.01097,0.73794,0.57433,0.65376,0.49978,1.01995,1.48055,0.01213,0.00484,0.00484,0.00484
88,2399.08,0.93027,0.98955,0.01074,0.75387,0.57382,0.66263,0.50616,1.03111,1.40444,0.01237,0.00478,0.00478,0.00478
89,2426.02,0.92657,0.98523,0.01091,0.70709,0.58789,0.6466,0.49725,1.02607,1.50132,0.01234,0.00472,0.00472,0.00472
90,2452.98,0.9339,0.98795,0.01094,0.70661,0.59056,0.66289,0.50703,1.0155,1.41291,0.01219,0.00466,0.00466,0.00466
91,2479.91,0.93504,0.99013,0.01076,0.74413,0.56925,0.66057,0.49856,1.02926,1.38311,0.0124,0.0046,0.0046,0.0046
92,2506.86,0.92064,0.97082,0.01067,0.75895,0.57029,0.66485,0.50694,1.02719,1.4334,0.01255,0.00454,0.00454,0.00454
93,2533.84,0.9318,0.95397,0.01092,0.68942,0.60274,0.65891,0.50372,1.00377,1.47496,0.01203,0.00448,0.00448,0.00448
94,2560.77,0.92644,0.98148,0.0108,0.75217,0.60515,0.66975,0.51111,1.01305,1.41545,0.0122,0.00442,0.00442,0.00442
95,2587.71,0.91274,0.96273,0.01063,0.72731,0.57382,0.66318,0.50625,1.0087,1.42131,0.01207,0.00436,0.00436,0.00436
96,2614.72,0.91505,0.94694,0.01065,0.7232,0.56469,0.65169,0.50133,0.99256,1.54587,0.01184,0.0043,0.0043,0.0043
97,2641.68,0.89462,0.95246,0.0104,0.75446,0.57993,0.66234,0.51012,1.01166,1.48394,0.01214,0.00424,0.00424,0.00424
98,2668.63,0.89733,0.92347,0.01034,0.72324,0.5723,0.64506,0.50382,1.00619,1.54468,0.01201,0.00418,0.00418,0.00418
99,2695.58,0.89898,0.93944,0.01036,0.74006,0.585,0.66361,0.50313,1.02423,1.46907,0.01241,0.00412,0.00412,0.00412
100,2722.47,0.88961,0.93244,0.01067,0.74381,0.59659,0.6736,0.51015,1.01024,1.41717,0.01217,0.00406,0.00406,0.00406
101,2749.37,0.89572,0.92012,0.01049,0.74534,0.57912,0.66812,0.51727,0.98827,1.41634,0.01184,0.004,0.004,0.004
102,2776.34,0.88586,0.91197,0.01047,0.69334,0.61944,0.65887,0.50301,1.01236,1.51196,0.01224,0.00394,0.00394,0.00394
103,2803.23,0.88425,0.9099,0.01034,0.74715,0.60731,0.67157,0.51612,0.99403,1.38916,0.01186,0.00388,0.00388,0.00388
104,2830.11,0.88334,0.90907,0.01033,0.77201,0.5723,0.65465,0.50248,1.02153,1.53722,0.01211,0.00382,0.00382,0.00382
105,2857.05,0.88438,0.91164,0.01031,0.71891,0.60122,0.65917,0.50883,0.97086,1.49869,0.01157,0.00376,0.00376,0.00376
106,2883.9,0.87821,0.90205,0.01024,0.72761,0.58752,0.66186,0.51424,0.99504,1.48963,0.01185,0.0037,0.0037,0.0037
107,2910.75,0.8739,0.8988,0.01021,0.71839,0.58243,0.65949,0.51145,1.00539,1.48327,0.01198,0.00364,0.00364,0.00364
108,2937.7,0.86643,0.88618,0.01009,0.77829,0.586,0.67062,0.52383,0.98623,1.43216,0.01175,0.00358,0.00358,0.00358
109,2964.64,0.87197,0.89603,0.01018,0.73222,0.58447,0.66047,0.51215,1.00226,1.53879,0.01211,0.00352,0.00352,0.00352
110,2991.58,0.86226,0.88575,0.00991,0.71809,0.58295,0.64219,0.50263,0.99152,1.56284,0.01183,0.00346,0.00346,0.00346
111,3018.45,0.85337,0.87966,0.00991,0.73038,0.61492,0.66469,0.51699,0.97814,1.51295,0.01166,0.0034,0.0034,0.0034
112,3045.35,0.8592,0.8696,0.00989,0.73567,0.58295,0.64898,0.50444,1.00298,1.54687,0.01194,0.00334,0.00334,0.00334
113,3072.27,0.86533,0.8633,0.00997,0.72387,0.59209,0.65385,0.50329,0.99532,1.58083,0.01203,0.00328,0.00328,0.00328
114,3099.21,0.85347,0.86081,0.00995,0.7185,0.5905,0.65301,0.50761,1.00832,1.59963,0.01206,0.00322,0.00322,0.00322
115,3126.04,0.85516,0.87873,0.01001,0.76926,0.56317,0.65613,0.51193,0.98488,1.5759,0.01177,0.00316,0.00316,0.00316
116,3152.94,0.83875,0.85026,0.00965,0.75446,0.5997,0.66246,0.51499,1.00376,1.49768,0.0121,0.0031,0.0031,0.0031
117,3179.83,0.8493,0.86225,0.00966,0.75543,0.56925,0.6644,0.51236,1.00456,1.51946,0.01196,0.00304,0.00304,0.00304
118,3206.7,0.84853,0.85273,0.00983,0.71917,0.61492,0.66539,0.50973,1.01499,1.541,0.0121,0.00298,0.00298,0.00298
119,3233.58,0.83728,0.86025,0.01001,0.78623,0.56317,0.65813,0.51064,1.01851,1.5581,0.01228,0.00292,0.00292,0.00292
120,3260.47,0.84513,0.83819,0.00996,0.74668,0.56012,0.6464,0.50665,1.00148,1.63634,0.01204,0.00286,0.00286,0.00286
121,3287.44,0.82036,0.82439,0.00951,0.77544,0.5729,0.64797,0.50646,1.00322,1.63528,0.01206,0.0028,0.0028,0.0028
122,3314.37,0.84168,0.83828,0.01004,0.70939,0.61035,0.65748,0.51447,0.99603,1.55523,0.01197,0.00274,0.00274,0.00274
123,3341.35,0.83082,0.82039,0.00962,0.78487,0.56087,0.64427,0.50414,1.00081,1.65492,0.01194,0.00268,0.00268,0.00268
124,3368.24,0.81452,0.82838,0.00941,0.72319,0.59209,0.65243,0.50993,0.99169,1.57823,0.01178,0.00262,0.00262,0.00262
125,3395.08,0.81107,0.81479,0.00929,0.73717,0.60193,0.65469,0.51151,0.98391,1.56506,0.01177,0.00256,0.00256,0.00256
126,3421.93,0.80969,0.81354,0.00927,0.73612,0.56925,0.65282,0.51072,1.00813,1.60647,0.01214,0.0025,0.0025,0.0025
127,3448.74,0.81475,0.81753,0.00952,0.73942,0.58143,0.65642,0.51486,0.99269,1.62518,0.01177,0.00244,0.00244,0.00244
128,3475.61,0.81006,0.81582,0.00943,0.75072,0.57991,0.65497,0.51098,0.9996,1.59471,0.01198,0.00238,0.00238,0.00238
129,3502.45,0.80309,0.80518,0.00919,0.72938,0.60713,0.66908,0.52343,0.99273,1.56273,0.01174,0.00232,0.00232,0.00232
130,3529.31,0.80234,0.7951,0.00918,0.75604,0.58143,0.6592,0.51322,1.00317,1.58082,0.01185,0.00226,0.00226,0.00226
131,3556.14,0.80122,0.79666,0.00929,0.70753,0.58447,0.65403,0.50728,1.00479,1.6156,0.01187,0.0022,0.0022,0.0022
132,3583.07,0.79997,0.79825,0.00918,0.74928,0.57839,0.65769,0.51073,1.0109,1.58374,0.01207,0.00214,0.00214,0.00214
133,3610,0.80552,0.79272,0.00921,0.76641,0.57928,0.65722,0.51544,1.02083,1.56073,0.01219,0.00208,0.00208,0.00208
134,3636.9,0.78476,0.77163,0.00895,0.73338,0.59056,0.65617,0.51616,1.01985,1.60141,0.01213,0.00202,0.00202,0.00202
135,3663.76,0.78559,0.77455,0.00911,0.76412,0.56012,0.65124,0.51421,1.02337,1.64906,0.01234,0.00196,0.00196,0.00196
136,3690.69,0.78706,0.77341,0.00914,0.76768,0.57839,0.65681,0.51432,1.00179,1.65298,0.01191,0.0019,0.0019,0.0019
137,3717.57,0.78519,0.76914,0.00901,0.77154,0.59513,0.65719,0.51885,1.00873,1.65234,0.01199,0.00184,0.00184,0.00184
138,3744.49,0.77955,0.77107,0.00894,0.76688,0.5723,0.65108,0.5113,1.02091,1.63804,0.01221,0.00178,0.00178,0.00178
139,3771.47,0.77755,0.76768,0.00894,0.77114,0.56317,0.6489,0.50656,1.02222,1.67072,0.01225,0.00172,0.00172,0.00172
140,3798.46,0.77737,0.76354,0.00902,0.72448,0.58752,0.65097,0.50922,1.01577,1.68101,0.01214,0.00166,0.00166,0.00166
141,3825.38,0.76338,0.75893,0.00887,0.79823,0.56164,0.65562,0.51138,1.00662,1.66408,0.01201,0.0016,0.0016,0.0016
142,3852.29,0.77806,0.76568,0.00901,0.76305,0.57534,0.65257,0.51342,0.99495,1.66883,0.01188,0.00154,0.00154,0.00154
143,3879.29,0.78105,0.77607,0.00892,0.75112,0.57991,0.64856,0.511,0.98688,1.69595,0.01167,0.00148,0.00148,0.00148
144,3906.29,0.76797,0.74231,0.00885,0.76847,0.56164,0.64492,0.50621,0.99967,1.70404,0.01187,0.00142,0.00142,0.00142
145,3933.21,0.76046,0.74369,0.00866,0.78952,0.55099,0.64721,0.50775,1.00034,1.74845,0.01193,0.00136,0.00136,0.00136
146,3960.11,0.76756,0.75147,0.00892,0.77082,0.57335,0.64719,0.51083,1.01292,1.73249,0.01211,0.0013,0.0013,0.0013
147,3987.06,0.75589,0.74656,0.00868,0.76483,0.57078,0.64731,0.51128,0.99353,1.72181,0.01173,0.00124,0.00124,0.00124
148,4013.96,0.75468,0.74792,0.00859,0.75621,0.58143,0.64732,0.51308,0.99874,1.70474,0.01193,0.00118,0.00118,0.00118
149,4040.88,0.75452,0.74069,0.00871,0.76133,0.586,0.65125,0.5147,1.00974,1.67873,0.01201,0.00112,0.00112,0.00112
150,4067.84,0.75818,0.74496,0.00875,0.7948,0.56005,0.64953,0.51178,1.0015,1.72472,0.01188,0.00106,0.00106,0.00106
151,4094.73,0.76369,0.75424,0.0089,0.74247,0.5924,0.65054,0.51362,0.99818,1.69575,0.01186,0.001,0.001,0.001
152,4121.72,0.75156,0.7227,0.00862,0.75462,0.57991,0.65471,0.51873,1.00617,1.68256,0.01207,0.00094,0.00094,0.00094
153,4148.65,0.74703,0.72816,0.0086,0.74688,0.57486,0.65301,0.51618,1.0188,1.69541,0.0122,0.00088,0.00088,0.00088
154,4175.6,0.75354,0.74409,0.00884,0.73724,0.57652,0.64922,0.51375,1.00528,1.71522,0.012,0.00082,0.00082,0.00082
155,4202.59,0.75627,0.73459,0.00871,0.78154,0.55099,0.64896,0.51385,1.01042,1.72271,0.01204,0.00076,0.00076,0.00076
156,4231.07,0.55718,0.39687,0.00798,0.76036,0.56925,0.65279,0.51351,1.00748,1.73134,0.01202,0.0007,0.0007,0.0007
157,4257.63,0.54762,0.38327,0.00775,0.73437,0.59817,0.65795,0.51791,1.0054,1.68358,0.01196,0.00064,0.00064,0.00064
158,4284.26,0.54598,0.38051,0.00771,0.74013,0.59665,0.65949,0.52111,1.00051,1.69356,0.01187,0.00058,0.00058,0.00058
159,4310.89,0.54104,0.38201,0.00764,0.74348,0.59817,0.66142,0.52428,1.00078,1.70685,0.01194,0.00052,0.00052,0.00052
160,4337.5,0.53991,0.3722,0.00755,0.73328,0.60274,0.6574,0.51951,0.99847,1.72713,0.01192,0.00046,0.00046,0.00046
161,4364.04,0.53738,0.37106,0.00748,0.72482,0.60426,0.65916,0.51707,1.00043,1.71511,0.01193,0.0004,0.0004,0.0004
162,4390.6,0.52988,0.36102,0.00748,0.7966,0.56012,0.66019,0.51779,1.00546,1.73053,0.01199,0.00034,0.00034,0.00034
163,4417.12,0.52287,0.35813,0.00727,0.80828,0.55185,0.66128,0.51854,1.00795,1.72757,0.01203,0.00028,0.00028,0.00028
164,4443.7,0.52948,0.3604,0.00748,0.72944,0.59209,0.66242,0.51911,1.00626,1.74324,0.01199,0.00022,0.00022,0.00022
165,4470.29,0.51791,0.34656,0.00715,0.72491,0.59362,0.66296,0.51944,1.00804,1.75109,0.01202,0.00016,0.00016,0.00016
