epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.976,3.35803,5.21044,0.04901,0.00414,0.27549,0.00352,0.00088,nan,nan,nan,0.00331597,0.00331597,0.0701563
2,83.3961,3.09035,4.12868,0.04461,0.09445,0.1035,0.03744,0.00798,2.67734,3.74351,0.04082,0.00660941,0.00660941,0.0401164
3,106.211,2.4273,3.3496,0.0337,0.05739,0.14307,0.02813,0.0074,nan,nan,nan,0.00986285,0.00986285,0.0100365
4,128.082,2.03285,2.88549,0.0267,0.22324,0.19482,0.13745,0.05358,1.99354,2.84098,0.02828,0.00982,0.00982,0.00982
5,149.649,1.84587,2.67836,0.0237,0.20905,0.24201,0.17097,0.08155,nan,nan,nan,0.00976,0.00976,0.00976
6,171.526,1.74557,2.5298,0.02273,0.34927,0.29833,0.26957,0.12629,1.76569,2.44351,0.02443,0.0097,0.0097,0.0097
7,192.766,1.66653,2.37753,0.02136,0.40995,0.31202,0.31058,0.15698,1.7422,2.44253,0.02482,0.00964,0.00964,0.00964
8,213.964,1.61101,2.27664,0.02042,0.4737,0.40487,0.3997,0.2271,1.50864,2.07545,0.02044,0.00958,0.00958,0.00958
9,235.346,1.59068,2.22979,0.02029,0.43464,0.392,0.39474,0.2298,1.48696,2.00971,0.02009,0.00952,0.00952,0.00952
10,256.167,1.53522,2.13312,0.01913,0.47234,0.40639,0.42723,0.24865,1.49584,1.95554,0.01972,0.00946,0.00946,0.00946
11,277.219,1.51042,2.10354,0.01891,0.48256,0.42314,0.43588,0.2534,1.44364,1.93028,0.01944,0.0094,0.0094,0.0094
12,298.399,1.4895,2.03515,0.01858,0.55442,0.41857,0.45029,0.28214,1.42402,1.91584,0.01878,0.00934,0.00934,0.00934
13,320.334,1.44432,1.98272,0.01828,0.51862,0.414,0.43272,0.25179,1.44059,1.91301,0.01999,0.00928,0.00928,0.00928
14,341.233,1.41466,1.95219,0.0178,0.51947,0.49163,0.47152,0.29394,1.38918,1.74819,0.01814,0.00922,0.00922,0.00922
15,363.792,1.40109,1.92484,0.01763,0.52263,0.49315,0.5082,0.32144,1.3749,1.70998,0.01825,0.00916,0.00916,0.00916
16,386.447,1.38474,1.86844,0.01733,0.53281,0.50166,0.51475,0.33739,1.32997,1.67202,0.01718,0.0091,0.0091,0.0091
17,409.131,1.37602,1.8397,0.01734,0.51293,0.41248,0.43277,0.27228,1.39187,1.94375,0.01851,0.00904,0.00904,0.00904
18,430.942,1.33804,1.81934,0.01662,0.56067,0.47032,0.50307,0.33337,1.27586,1.78235,0.01665,0.00898,0.00898,0.00898
19,453.024,1.32431,1.81392,0.01646,0.55418,0.48402,0.53658,0.36112,1.23567,1.58547,0.01569,0.00892,0.00892,0.00892
20,475.452,1.30241,1.74627,0.01603,0.53674,0.49908,0.52089,0.34606,1.30359,1.69825,0.01699,0.00886,0.00886,0.00886
21,498.122,1.29335,1.73865,0.01597,0.58926,0.48858,0.54394,0.37467,1.2088,1.58415,0.01551,0.0088,0.0088,0.0088
22,520.925,1.27704,1.71844,0.01557,0.56242,0.56164,0.56465,0.3795,1.2251,1.55534,0.01533,0.00874,0.00874,0.00874
23,543.731,1.27244,1.69237,0.01547,0.60047,0.52055,0.55781,0.3972,1.18892,1.54713,0.01508,0.00868,0.00868,0.00868
24,566.432,1.26008,1.67065,0.01526,0.60283,0.53881,0.5604,0.39329,1.16718,1.54279,0.01487,0.00862,0.00862,0.00862
25,589.223,1.23356,1.64135,0.01521,0.58876,0.49011,0.54704,0.39141,1.1905,1.64412,0.0152,0.00856,0.00856,0.00856
26,611.759,1.23804,1.63355,0.01538,0.57692,0.52359,0.56792,0.40963,1.15455,1.56621,0.01448,0.0085,0.0085,0.0085
27,634.557,1.22068,1.6017,0.01489,0.60598,0.50533,0.54893,0.38686,1.21014,1.59949,0.01507,0.00844,0.00844,0.00844
28,657.143,1.22078,1.61078,0.01483,0.5618,0.54795,0.56569,0.39527,1.19604,1.53508,0.01525,0.00838,0.00838,0.00838
29,679.744,1.19684,1.58559,0.01465,0.62308,0.55403,0.59893,0.42686,1.15165,1.49927,0.01427,0.00832,0.00832,0.00832
30,702.312,1.20397,1.56044,0.01473,0.5915,0.53272,0.57251,0.41507,1.14523,1.58828,0.01461,0.00826,0.00826,0.00826
31,725.079,1.19711,1.55428,0.01473,0.6262,0.54795,0.59167,0.42043,1.15844,1.49271,0.0147,0.0082,0.0082,0.0082
32,747.728,1.1901,1.53529,0.01446,0.6368,0.50685,0.58733,0.42794,1.1289,1.53476,0.01411,0.00814,0.00814,0.00814
33,770.444,1.17913,1.51417,0.01427,0.63785,0.58143,0.63,0.45411,1.13409,1.39835,0.01418,0.00808,0.00808,0.00808
34,793.208,1.17063,1.49387,0.01421,0.60284,0.55708,0.60424,0.44343,1.13371,1.47811,0.0142,0.00802,0.00802,0.00802
35,815.934,1.15518,1.47512,0.01397,0.64633,0.50989,0.59303,0.43532,1.1547,1.50356,0.01444,0.00796,0.00796,0.00796
36,838.389,1.15599,1.48766,0.01399,0.63072,0.57078,0.60493,0.44567,1.12095,1.48782,0.01409,0.0079,0.0079,0.0079
37,861.056,1.15279,1.44646,0.01381,0.67325,0.53941,0.64035,0.4613,1.1202,1.37582,0.01412,0.00784,0.00784,0.00784
38,883.936,1.14065,1.42852,0.01376,0.62308,0.55403,0.60889,0.43867,1.10951,1.40832,0.01386,0.00778,0.00778,0.00778
39,906.498,1.13218,1.4133,0.01353,0.63275,0.61035,0.62273,0.45017,1.10582,1.40644,0.0138,0.00772,0.00772,0.00772
40,929.254,1.12186,1.41457,0.01361,0.70075,0.5382,0.62686,0.46102,1.09569,1.4782,0.01365,0.00766,0.00766,0.00766
41,952.005,1.1169,1.41275,0.01343,0.65382,0.56057,0.62621,0.45194,1.13502,1.45084,0.01411,0.0076,0.0076,0.0076
42,973.845,1.11725,1.41761,0.01353,0.63731,0.59374,0.63471,0.47087,1.1009,1.40707,0.01358,0.00754,0.00754,0.00754
43,995.06,1.11023,1.39044,0.01327,0.68448,0.55141,0.6306,0.46268,1.10356,1.45337,0.01367,0.00748,0.00748,0.00748
44,1015.88,1.09067,1.33348,0.01318,0.6745,0.59611,0.65871,0.47496,1.1073,1.34388,0.01371,0.00742,0.00742,0.00742
45,1037.65,1.10414,1.35854,0.01322,0.6376,0.57308,0.62862,0.45067,1.1405,1.47234,0.01453,0.00736,0.00736,0.00736
46,1058.7,1.09924,1.33732,0.01314,0.69292,0.56317,0.64496,0.47902,1.10073,1.40768,0.01361,0.0073,0.0073,0.0073
47,1079.9,1.09661,1.32927,0.01313,0.69009,0.54033,0.63741,0.46311,1.10274,1.39074,0.01382,0.00724,0.00724,0.00724
48,1100.64,1.07569,1.31323,0.0129,0.71304,0.54462,0.64939,0.48542,1.08931,1.43244,0.01327,0.00718,0.00718,0.00718
49,1121.53,1.07727,1.32499,0.01278,0.6769,0.56621,0.64568,0.47824,1.08035,1.38596,0.01327,0.00712,0.00712,0.00712
50,1142,1.05972,1.29635,0.01277,0.67114,0.57686,0.64576,0.48304,1.09383,1.46607,0.01358,0.00706,0.00706,0.00706
51,1163.1,1.05599,1.27842,0.01228,0.70989,0.57355,0.64227,0.47002,1.10722,1.42675,0.01362,0.007,0.007,0.007
52,1183.62,1.05879,1.27271,0.01272,0.67016,0.57829,0.63332,0.47119,1.09966,1.48301,0.0137,0.00694,0.00694,0.00694
53,1204.3,1.05802,1.26486,0.01251,0.66236,0.56164,0.63833,0.48387,1.06334,1.40864,0.01321,0.00688,0.00688,0.00688
54,1224.7,1.04934,1.27928,0.01274,0.68635,0.55955,0.65144,0.49032,1.05388,1.42374,0.01298,0.00682,0.00682,0.00682
55,1247.08,1.06256,1.25287,0.01264,0.60778,0.60426,0.62061,0.46343,1.10134,1.51035,0.01333,0.00676,0.00676,0.00676
56,1269.68,1.03741,1.24076,0.01233,0.66412,0.58904,0.63845,0.47558,1.09568,1.388,0.01353,0.0067,0.0067,0.0067
57,1292.37,1.04015,1.23069,0.01253,0.67552,0.56317,0.63948,0.47529,1.10856,1.4333,0.01357,0.00664,0.00664,0.00664
58,1314.99,1.03399,1.2265,0.01221,0.67416,0.57314,0.63639,0.4744,1.1186,1.47863,0.01366,0.00658,0.00658,0.00658
59,1337.2,1.033,1.18589,0.01246,0.66221,0.59361,0.64176,0.47544,1.1042,1.44555,0.01364,0.00652,0.00652,0.00652
