epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8118,3.44675,6.26202,0.04884,0.00494,0.34703,0.00455,0.00111,3.26188,4.37057,0.04818,0.00330729,0.00330729,0.0702344
2,91.1006,3.40356,5.09862,0.04813,0.00559,0.29072,0.00824,0.0021,nan,nan,nan,0.00660078,0.00660078,0.0401945
3,117.313,2.70651,3.5317,0.03809,0.19219,0.18903,0.09467,0.02714,2.29377,3.22686,0.03449,0.00985427,0.00985427,0.0101147
4,143.177,2.21326,2.98507,0.03031,0.2794,0.16895,0.12691,0.04277,2.17517,2.88267,0.03219,0.00982,0.00982,0.00982
5,169.106,2.01899,2.8049,0.02621,0.29676,0.28919,0.21786,0.08339,1.85428,2.55447,0.0265,0.00976,0.00976,0.00976
6,194.949,1.88008,2.63928,0.02437,0.33137,0.28589,0.23738,0.11627,1.76163,2.46117,0.02423,0.0097,0.0097,0.0097
7,220.874,1.78672,2.50544,0.02247,0.35567,0.31254,0.30808,0.16246,1.5928,2.23513,0.02181,0.00964,0.00964,0.00964
8,246.875,1.71161,2.36872,0.02181,0.37979,0.35231,0.31967,0.17255,1.63189,2.14012,0.02225,0.00958,0.00958,0.00958
9,272.338,1.66796,2.30723,0.02132,0.47415,0.33625,0.36453,0.19373,1.61717,2.04342,0.02201,0.00952,0.00952,0.00952
10,298.317,1.6052,2.2042,0.02011,0.45504,0.43683,0.41766,0.24096,1.47006,1.91618,0.0202,0.00946,0.00946,0.00946
11,324.176,1.57831,2.12201,0.01965,0.49486,0.40707,0.40937,0.23984,1.46581,1.93985,0.01974,0.0094,0.0094,0.0094
12,350.004,1.54483,2.0648,0.01915,0.51885,0.4809,0.47207,0.27679,1.46511,1.76292,0.01935,0.00934,0.00934,0.00934
13,375.941,1.50488,2.01244,0.0188,0.54838,0.46389,0.47528,0.26764,1.5429,1.77626,0.02099,0.00928,0.00928,0.00928
14,401.725,1.48314,1.96867,0.01841,0.5578,0.4277,0.46468,0.2805,1.39081,1.77599,0.01848,0.00922,0.00922,0.00922
15,427.508,1.46344,1.9372,0.01828,0.53775,0.45053,0.4702,0.29368,1.39431,1.75964,0.01873,0.00916,0.00916,0.00916
16,453.37,1.4346,1.89028,0.01805,0.56884,0.47184,0.50304,0.32504,1.33744,1.70137,0.01758,0.0091,0.0091,0.0091
17,479.256,1.40951,1.85101,0.01729,0.55115,0.47472,0.50026,0.32588,1.28145,1.67202,0.01672,0.00904,0.00904,0.00904
18,505.082,1.38071,1.83186,0.01724,0.59316,0.46271,0.52768,0.34,1.28978,1.65081,0.01701,0.00898,0.00898,0.00898
19,530.974,1.36891,1.82044,0.01695,0.56455,0.49315,0.53143,0.36069,1.23815,1.53365,0.01598,0.00892,0.00892,0.00892
20,556.821,1.34119,1.74423,0.01651,0.57778,0.46575,0.53048,0.3649,1.22458,1.57436,0.01577,0.00886,0.00886,0.00886
21,582.662,1.32948,1.75251,0.01628,0.53516,0.53972,0.54469,0.3628,1.24404,1.5187,0.01592,0.0088,0.0088,0.0088
22,608.507,1.32098,1.73706,0.01608,0.63045,0.50115,0.56264,0.3842,1.24645,1.50943,0.01586,0.00874,0.00874,0.00874
23,634.394,1.29867,1.69587,0.01577,0.58915,0.51073,0.57369,0.38623,1.25999,1.52183,0.01631,0.00868,0.00868,0.00868
24,660.241,1.30048,1.67846,0.01557,0.60547,0.52816,0.57067,0.38739,1.18274,1.50796,0.01493,0.00862,0.00862,0.00862
25,686.104,1.26951,1.65001,0.01541,0.59042,0.51903,0.56346,0.38526,1.17421,1.52948,0.01494,0.00856,0.00856,0.00856
26,711.936,1.27458,1.62593,0.01555,0.59624,0.49315,0.55703,0.38361,1.20822,1.54894,0.0152,0.0085,0.0085,0.0085
27,737.754,1.25215,1.60883,0.0149,0.57717,0.56096,0.58515,0.40539,1.17072,1.47194,0.01502,0.00844,0.00844,0.00844
28,763.618,1.24498,1.59487,0.01519,0.5614,0.55708,0.57126,0.39638,1.15257,1.53344,0.01433,0.00838,0.00838,0.00838
29,789.429,1.22784,1.56896,0.01449,0.63801,0.47945,0.57155,0.40482,1.15208,1.56002,0.01465,0.00832,0.00832,0.00832
30,815.196,1.21139,1.54677,0.01475,0.6305,0.55321,0.61013,0.43384,1.10522,1.39751,0.0136,0.00826,0.00826,0.00826
31,841.033,1.21522,1.55977,0.01436,0.62479,0.53478,0.58341,0.42139,1.07849,1.45947,0.01369,0.0082,0.0082,0.0082
32,866.83,1.20008,1.52129,0.01465,0.68367,0.50533,0.60866,0.43772,1.08557,1.43337,0.01367,0.00814,0.00814,0.00814
33,892.651,1.18446,1.50016,0.01421,0.65298,0.53577,0.60509,0.43061,1.13263,1.49294,0.0145,0.00808,0.00808,0.00808
34,918.431,1.1847,1.49056,0.01436,0.62903,0.54186,0.59989,0.41974,1.1596,1.45307,0.01461,0.00802,0.00802,0.00802
35,944.208,1.1839,1.49506,0.01428,0.5807,0.53425,0.57956,0.41674,1.10273,1.54974,0.01395,0.00796,0.00796,0.00796
36,969.942,1.16811,1.44369,0.01406,0.63889,0.53881,0.59731,0.43394,1.11407,1.43419,0.01381,0.0079,0.0079,0.0079
37,995.719,1.15881,1.44668,0.01382,0.61748,0.55529,0.60146,0.42749,1.12712,1.42889,0.01406,0.00784,0.00784,0.00784
38,1021.52,1.15142,1.44019,0.01387,0.68952,0.52733,0.62143,0.44496,1.07843,1.35827,0.01346,0.00778,0.00778,0.00778
39,1047.34,1.14721,1.42928,0.01376,0.62171,0.57991,0.60882,0.42536,1.1247,1.40739,0.01386,0.00772,0.00772,0.00772
40,1073.12,1.14164,1.42998,0.01357,0.65615,0.5312,0.62033,0.45021,1.07395,1.37271,0.01311,0.00766,0.00766,0.00766
41,1099.02,1.12729,1.39413,0.01353,0.61155,0.5586,0.61344,0.43893,1.0741,1.4918,0.01345,0.0076,0.0076,0.0076
42,1124.83,1.12648,1.39561,0.01359,0.62477,0.56925,0.62156,0.44181,1.09328,1.39646,0.01374,0.00754,0.00754,0.00754
43,1150.61,1.11811,1.38036,0.01328,0.61972,0.60578,0.63494,0.46205,1.05651,1.35408,0.01319,0.00748,0.00748,0.00748
44,1176.49,1.11713,1.3657,0.01332,0.66964,0.56012,0.62934,0.45884,1.05972,1.37764,0.01329,0.00742,0.00742,0.00742
45,1202.27,1.10834,1.36748,0.0133,0.66964,0.56621,0.61852,0.45084,1.03766,1.39092,0.01299,0.00736,0.00736,0.00736
46,1228.1,1.10368,1.33877,0.01302,0.6352,0.57686,0.63132,0.46741,1.03551,1.3615,0.01296,0.0073,0.0073,0.0073
47,1253.93,1.11314,1.33707,0.01303,0.64617,0.56925,0.62809,0.46251,1.08153,1.38979,0.01338,0.00724,0.00724,0.00724
48,1279.72,1.09513,1.31139,0.01296,0.65346,0.57978,0.64217,0.4688,1.04956,1.33142,0.01321,0.00718,0.00718,0.00718
49,1305.33,1.08453,1.31404,0.0131,0.61411,0.60578,0.64049,0.4622,1.07091,1.34579,0.01363,0.00712,0.00712,0.00712
50,1331.02,1.08737,1.30991,0.01284,0.73414,0.53378,0.64357,0.47166,1.04025,1.40709,0.01295,0.00706,0.00706,0.00706
51,1356.7,1.07775,1.29074,0.01281,0.71972,0.5511,0.64991,0.48063,1.04969,1.34034,0.01288,0.007,0.007,0.007
52,1382.52,1.08371,1.29346,0.01294,0.68385,0.55556,0.62452,0.46568,1.05111,1.46204,0.01308,0.00694,0.00694,0.00694
53,1408.34,1.06194,1.26474,0.01274,0.68772,0.54947,0.63724,0.46576,1.02781,1.414,0.01255,0.00688,0.00688,0.00688
54,1434.05,1.05446,1.25208,0.01273,0.71533,0.56988,0.65242,0.48238,1.04298,1.37077,0.01325,0.00682,0.00682,0.00682
55,1459.88,1.06413,1.23789,0.01266,0.71564,0.56164,0.64854,0.48028,1.04306,1.35786,0.01292,0.00676,0.00676,0.00676
56,1485.68,1.05359,1.23083,0.01244,0.64977,0.59018,0.64565,0.47868,1.06136,1.37027,0.01308,0.0067,0.0067,0.0067
57,1511.41,1.0494,1.22174,0.01246,0.66685,0.56667,0.62787,0.45565,1.05217,1.42659,0.01336,0.00664,0.00664,0.00664
58,1537.15,1.04451,1.23985,0.01245,0.68737,0.60426,0.66571,0.4896,1.02183,1.3358,0.01265,0.00658,0.00658,0.00658
59,1562.99,1.02933,1.2091,0.01215,0.70927,0.586,0.65193,0.48469,1.03483,1.29785,0.0126,0.00652,0.00652,0.00652
60,1588.69,1.03624,1.22515,0.01228,0.7295,0.56012,0.65054,0.47851,1.07174,1.41367,0.01349,0.00646,0.00646,0.00646
61,1614.45,1.02579,1.20498,0.01188,0.70534,0.56109,0.65048,0.47931,1.03175,1.38605,0.01297,0.0064,0.0064,0.0064
62,1640.22,1.02861,1.18008,0.01208,0.65798,0.60027,0.64811,0.47981,1.05182,1.35971,0.01299,0.00634,0.00634,0.00634
63,1665.97,1.02255,1.1725,0.01201,0.71735,0.57839,0.66541,0.49032,1.04863,1.30342,0.01319,0.00628,0.00628,0.00628
64,1691.8,1.02874,1.18081,0.01215,0.71531,0.54033,0.64123,0.47681,1.0393,1.37446,0.01307,0.00622,0.00622,0.00622
65,1717.56,1.00154,1.15598,0.01154,0.71426,0.58593,0.66,0.49893,1.02704,1.30012,0.01243,0.00616,0.00616,0.00616
66,1743.35,1.00277,1.16779,0.0118,0.67785,0.60274,0.64934,0.48635,1.00226,1.34455,0.01209,0.0061,0.0061,0.0061
67,1769.06,0.99569,1.14408,0.01149,0.75391,0.55251,0.66185,0.50805,0.99004,1.38679,0.01198,0.00604,0.00604,0.00604
68,1794.9,0.99354,1.13891,0.01169,0.65266,0.59817,0.65516,0.48986,1.02083,1.41632,0.01249,0.00598,0.00598,0.00598
69,1820.62,0.98669,1.12904,0.01152,0.70631,0.56317,0.66087,0.49337,1.03384,1.3063,0.01265,0.00592,0.00592,0.00592
70,1846.39,1.00909,1.13253,0.01192,0.74269,0.57989,0.67143,0.50737,1.01283,1.38666,0.01252,0.00586,0.00586,0.00586
71,1872.18,0.99318,1.11746,0.01177,0.68247,0.58295,0.656,0.49599,1.00689,1.35738,0.01217,0.0058,0.0058,0.0058
72,1897.9,0.98426,1.10879,0.01163,0.685,0.586,0.64989,0.48961,0.98236,1.42557,0.01189,0.00574,0.00574,0.00574
73,1923.69,0.98157,1.1081,0.01155,0.76654,0.58143,0.65998,0.49441,1.03629,1.37024,0.01279,0.00568,0.00568,0.00568
74,1949.44,0.97681,1.10557,0.01142,0.71804,0.56979,0.6485,0.4866,1.03336,1.35257,0.01277,0.00562,0.00562,0.00562
75,1975.14,0.95272,1.07853,0.01108,0.69727,0.59817,0.66414,0.50519,1.01957,1.34575,0.01232,0.00556,0.00556,0.00556
76,2000.88,0.9557,1.07183,0.01121,0.68652,0.58295,0.64555,0.4865,1.00816,1.43547,0.01224,0.0055,0.0055,0.0055
77,2026.64,0.95892,1.06092,0.01118,0.73754,0.55251,0.64567,0.49028,1.03135,1.48377,0.0125,0.00544,0.00544,0.00544
78,2052.36,0.95348,1.06139,0.01122,0.68508,0.6225,0.66718,0.49735,1.01454,1.38611,0.01245,0.00538,0.00538,0.00538
79,2078.1,0.9558,1.06177,0.01143,0.69369,0.60883,0.66041,0.50288,0.99467,1.40969,0.01211,0.00532,0.00532,0.00532
80,2103.8,0.94514,1.04402,0.01104,0.75486,0.56469,0.66266,0.49663,1.02191,1.35059,0.01258,0.00526,0.00526,0.00526
81,2129.57,0.9467,1.05166,0.0111,0.695,0.60731,0.6589,0.50355,1.01579,1.37483,0.0125,0.0052,0.0052,0.0052
82,2155.35,0.94048,1.02822,0.01086,0.73653,0.57839,0.66404,0.50651,1.00265,1.36158,0.01217,0.00514,0.00514,0.00514
83,2181.14,0.94981,1.03966,0.01094,0.74817,0.54716,0.6378,0.48125,1.01682,1.44456,0.01257,0.00508,0.00508,0.00508
84,2206.89,0.9305,1.02507,0.01087,0.71681,0.56012,0.63156,0.48323,1.03242,1.51452,0.01257,0.00502,0.00502,0.00502
85,2232.65,0.93237,1.01063,0.01094,0.71793,0.5656,0.64375,0.48951,1.01996,1.47366,0.01225,0.00496,0.00496,0.00496
86,2258.43,0.94142,1.03801,0.011,0.69209,0.57819,0.6389,0.48839,1.00821,1.4852,0.01213,0.0049,0.0049,0.0049
87,2284.16,0.92631,1.02408,0.01085,0.68754,0.60578,0.6494,0.49654,1.00565,1.41656,0.01243,0.00484,0.00484,0.00484
88,2309.91,0.92831,0.99804,0.01093,0.7264,0.60122,0.66978,0.51637,1.00188,1.37559,0.01194,0.00478,0.00478,0.00478
89,2335.76,0.92372,0.99677,0.0107,0.69313,0.60852,0.65548,0.49725,1.00797,1.45594,0.01239,0.00472,0.00472,0.00472
90,2361.53,0.91137,0.99795,0.01067,0.69641,0.59665,0.65651,0.49922,1.02934,1.43745,0.01245,0.00466,0.00466,0.00466
91,2387.33,0.91691,1.0032,0.01071,0.73,0.56621,0.65253,0.49551,1.00725,1.43893,0.01227,0.0046,0.0046,0.0046
92,2413.11,0.90962,0.9772,0.01028,0.68265,0.60731,0.65168,0.49976,0.9949,1.41646,0.01199,0.00454,0.00454,0.00454
93,2438.84,0.89959,0.97857,0.01052,0.6681,0.60274,0.65303,0.49777,1.00732,1.41031,0.01227,0.00448,0.00448,0.00448
94,2464.55,0.89822,0.96774,0.01052,0.72268,0.60426,0.66142,0.49404,1.05417,1.36826,0.01293,0.00442,0.00442,0.00442
95,2490.26,0.90277,0.98138,0.01058,0.73504,0.58295,0.64614,0.49838,1.01558,1.46727,0.01246,0.00436,0.00436,0.00436
96,2516,0.89389,0.96438,0.01048,0.75013,0.5586,0.65229,0.49991,1.01285,1.48407,0.01221,0.0043,0.0043,0.0043
97,2541.78,0.8851,0.96474,0.01025,0.76216,0.54629,0.65068,0.49674,1.02968,1.44215,0.01245,0.00424,0.00424,0.00424
98,2567.56,0.87935,0.93924,0.01006,0.73584,0.59361,0.6717,0.50734,1.02688,1.40767,0.01246,0.00418,0.00418,0.00418
99,2593.31,0.89198,0.97122,0.01025,0.72887,0.58921,0.65484,0.50931,1.00727,1.39571,0.01223,0.00412,0.00412,0.00412
100,2619.07,0.88434,0.95289,0.01049,0.71073,0.57218,0.64039,0.49823,1.03227,1.50091,0.01245,0.00406,0.00406,0.00406
101,2644.8,0.8789,0.94376,0.01026,0.74353,0.57991,0.64487,0.49893,1.0032,1.47945,0.01203,0.004,0.004,0.004
102,2670.58,0.87321,0.94116,0.01018,0.70818,0.60947,0.66566,0.50175,1.02037,1.44485,0.01244,0.00394,0.00394,0.00394
103,2696.33,0.8735,0.92744,0.01015,0.76444,0.57382,0.6552,0.5014,1.01105,1.48392,0.01212,0.00388,0.00388,0.00388
104,2722.09,0.8669,0.92054,0.01004,0.68672,0.60274,0.63889,0.49229,1.02253,1.56067,0.01215,0.00382,0.00382,0.00382
105,2747.8,0.87091,0.90811,0.01019,0.72398,0.57534,0.62937,0.48284,1.01034,1.59296,0.01208,0.00376,0.00376,0.00376
106,2773.54,0.87892,0.92957,0.01034,0.71636,0.56925,0.63811,0.49409,1.01825,1.53248,0.01233,0.0037,0.0037,0.0037
107,2799.29,0.86049,0.90202,0.00977,0.73915,0.56773,0.64697,0.49753,1.0176,1.61187,0.01237,0.00364,0.00364,0.00364
108,2825.1,0.8485,0.90657,0.00995,0.72534,0.5586,0.63972,0.49875,1.00624,1.5506,0.01216,0.00358,0.00358,0.00358
109,2850.79,0.85438,0.9101,0.00998,0.73593,0.57839,0.64939,0.49228,1.01414,1.55252,0.01219,0.00352,0.00352,0.00352
110,2876.62,0.84262,0.88426,0.00967,0.71802,0.59209,0.6467,0.49047,1.0215,1.55108,0.01231,0.00346,0.00346,0.00346
111,2902.34,0.84836,0.8767,0.00971,0.72919,0.57788,0.6473,0.49669,1.01709,1.55499,0.01233,0.0034,0.0034,0.0034
112,2928.12,0.83256,0.87661,0.00959,0.72471,0.58904,0.64393,0.49686,1.01479,1.55177,0.01238,0.00334,0.00334,0.00334
113,2953.98,0.8465,0.87722,0.00952,0.70458,0.57991,0.64273,0.48967,1.0241,1.56705,0.01234,0.00328,0.00328,0.00328
114,2979.76,0.84214,0.88582,0.00985,0.73861,0.58922,0.64843,0.49645,0.99712,1.57765,0.01217,0.00322,0.00322,0.00322
115,3005.55,0.83747,0.88333,0.00977,0.71915,0.57293,0.6413,0.49315,1.01729,1.60413,0.01225,0.00316,0.00316,0.00316
116,3031.33,0.81987,0.8614,0.00955,0.72255,0.57078,0.63575,0.48775,1.01944,1.59078,0.01236,0.0031,0.0031,0.0031
117,3057.08,0.83563,0.86784,0.0097,0.73721,0.58295,0.64595,0.49813,1.00682,1.59095,0.0121,0.00304,0.00304,0.00304
118,3082.85,0.83034,0.86941,0.00967,0.68825,0.58752,0.64274,0.49243,1.00198,1.55291,0.0122,0.00298,0.00298,0.00298
119,3108.63,0.82921,0.85385,0.00968,0.72272,0.58143,0.63788,0.49466,1.00251,1.57165,0.01218,0.00292,0.00292,0.00292
120,3134.31,0.82565,0.86594,0.00971,0.70618,0.59361,0.64762,0.50131,0.99779,1.56631,0.01199,0.00286,0.00286,0.00286
121,3160.1,0.81952,0.85034,0.00953,0.78894,0.53577,0.6461,0.49764,1.02332,1.55173,0.01253,0.0028,0.0028,0.0028
122,3185.88,0.82016,0.84859,0.00958,0.723,0.58797,0.65308,0.49686,1.00457,1.57854,0.01227,0.00274,0.00274,0.00274
123,3211.63,0.81946,0.85667,0.00955,0.71316,0.57078,0.64075,0.4909,1.02411,1.61708,0.01237,0.00268,0.00268,0.00268
124,3237.42,0.81159,0.84091,0.00943,0.76794,0.55405,0.64063,0.49557,1.0168,1.59885,0.01228,0.00262,0.00262,0.00262
125,3263.16,0.80992,0.8268,0.00917,0.71655,0.59254,0.64372,0.50228,0.99296,1.58197,0.01191,0.00256,0.00256,0.00256
126,3288.92,0.80894,0.81954,0.00929,0.7443,0.57078,0.64194,0.49693,0.99154,1.59973,0.01186,0.0025,0.0025,0.0025
127,3314.65,0.79441,0.81516,0.00907,0.72623,0.58545,0.63722,0.49556,0.99009,1.64906,0.01181,0.00244,0.00244,0.00244
128,3340.53,0.80199,0.82911,0.00925,0.73519,0.58904,0.64961,0.49918,1.01361,1.57207,0.01218,0.00238,0.00238,0.00238
129,3366.37,0.79483,0.79804,0.00933,0.72697,0.5997,0.64866,0.49755,1.00624,1.60323,0.01202,0.00232,0.00232,0.00232
130,3392.21,0.79606,0.81315,0.00917,0.75881,0.56983,0.64601,0.49227,1.01103,1.63004,0.0122,0.00226,0.00226,0.00226
131,3418.02,0.78662,0.80273,0.00918,0.72926,0.586,0.64315,0.49406,1.01343,1.66016,0.01217,0.0022,0.0022,0.0022
132,3443.87,0.78907,0.79887,0.00894,0.75671,0.58228,0.6523,0.49939,1.00643,1.62179,0.01213,0.00214,0.00214,0.00214
133,3469.69,0.79008,0.79934,0.00901,0.75473,0.56202,0.63507,0.49325,1.01419,1.67924,0.01214,0.00208,0.00208,0.00208
134,3495.59,0.77976,0.79494,0.00898,0.76363,0.58023,0.638,0.49374,1.00939,1.67072,0.01201,0.00202,0.00202,0.00202
135,3521.41,0.78751,0.78564,0.00912,0.74956,0.57686,0.63779,0.49113,1.02478,1.63645,0.01227,0.00196,0.00196,0.00196
136,3547.29,0.78434,0.80062,0.00892,0.76773,0.56164,0.62989,0.49149,1.031,1.69497,0.01228,0.0019,0.0019,0.0019
137,3573.16,0.76316,0.78832,0.00884,0.73958,0.57078,0.62195,0.48361,1.01993,1.72497,0.01216,0.00184,0.00184,0.00184
138,3598.96,0.77306,0.78717,0.00892,0.73909,0.57686,0.62632,0.4866,1.01333,1.71298,0.01211,0.00178,0.00178,0.00178
139,3624.73,0.78624,0.79961,0.00916,0.77829,0.55403,0.6319,0.48862,1.02462,1.69197,0.01219,0.00172,0.00172,0.00172
140,3650.59,0.77454,0.79864,0.00881,0.7097,0.59166,0.63005,0.48694,1.03967,1.6619,0.01255,0.00166,0.00166,0.00166
141,3676.38,0.76442,0.78239,0.00865,0.71334,0.59056,0.63009,0.48762,1.03953,1.6783,0.01245,0.0016,0.0016,0.0016
142,3702.22,0.77223,0.78527,0.00878,0.75654,0.57991,0.63074,0.48932,1.02833,1.67763,0.01244,0.00154,0.00154,0.00154
143,3728.03,0.76335,0.76473,0.00878,0.78052,0.56317,0.62434,0.4839,1.0201,1.71128,0.0123,0.00148,0.00148,0.00148
144,3753.92,0.75397,0.76769,0.00859,0.79505,0.55099,0.6309,0.48694,1.03039,1.68603,0.01246,0.00142,0.00142,0.00142
145,3779.76,0.75683,0.76499,0.0087,0.78256,0.56469,0.63946,0.49088,1.02388,1.64754,0.0123,0.00136,0.00136,0.00136
146,3805.65,0.75358,0.76672,0.00867,0.75576,0.57686,0.63305,0.48843,1.03729,1.65604,0.01247,0.0013,0.0013,0.0013
147,3831.56,0.74519,0.75397,0.00861,0.72627,0.59364,0.62873,0.48219,1.03677,1.70506,0.0125,0.00124,0.00124,0.00124
148,3857.45,0.74399,0.75975,0.00836,0.73152,0.56402,0.63076,0.48844,1.0183,1.74418,0.01231,0.00118,0.00118,0.00118
149,3883.36,0.75331,0.76676,0.00862,0.77675,0.55251,0.6297,0.49032,1.02261,1.77194,0.01229,0.00112,0.00112,0.00112
150,3909.23,0.74698,0.76102,0.0086,0.72793,0.59209,0.6389,0.49917,1.03615,1.70101,0.01258,0.00106,0.00106,0.00106
