epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8136,3.42413,5.43161,0.04941,0.00444,0.31202,0.00391,0.00104,3.19199,3.29645,0.04661,0.00329861,0.00329861,0.0703125
2,78.361,2.95738,3.78396,0.04196,0.03739,0.09285,0.01516,0.0036,2.62231,12.7903,0.04013,0.00659215,0.00659215,0.0402727
3,116.352,2.3001,3.1397,0.03168,0.0948,0.17352,0.05347,0.01405,2.23182,3.8369,0.03575,0.00984569,0.00984569,0.0101929
4,154.218,1.92359,2.80608,0.02517,0.05808,0.05175,0.01366,0.00439,2.34159,4.59183,0.03743,0.00982,0.00982,0.00982
5,192.238,1.73219,2.57104,0.02219,0.3281,0.31811,0.26749,0.13662,1.63089,2.33141,0.02257,0.00976,0.00976,0.00976
6,230.213,1.63731,2.40903,0.02068,0.43734,0.31811,0.31315,0.17072,1.5908,2.22941,0.02188,0.0097,0.0097,0.0097
7,268.373,1.56901,2.2728,0.01944,0.45584,0.36721,0.34947,0.20291,1.56357,2.19065,0.02144,0.00964,0.00964,0.00964
8,306.353,1.51107,2.16203,0.01893,0.41565,0.42161,0.38695,0.21906,1.50438,2.02144,0.02029,0.00958,0.00958,0.00958
9,344.421,1.46934,2.06404,0.01822,0.47279,0.41248,0.40554,0.23637,1.46311,1.95877,0.01971,0.00952,0.00952,0.00952
10,382.492,1.43428,2.00206,0.01752,0.49006,0.41705,0.40943,0.23266,1.47436,1.96413,0.01971,0.00946,0.00946,0.00946
11,420.627,1.39614,1.89396,0.01699,0.5519,0.4277,0.46987,0.29688,1.32582,1.86116,0.01738,0.0094,0.0094,0.0094
12,458.866,1.36767,1.85552,0.01684,0.47419,0.39422,0.38805,0.21141,1.64381,2.06809,0.02259,0.00934,0.00934,0.00934
