epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3826,1.79654,3.94752,0.02317,0.27747,0.0624,0.0594,0.02697,2.34472,3.64244,0.03579,0.00329861,0.00329861,0.0703125
2,51.6097,1.33078,2.29099,0.016,0.5398,0.43836,0.4744,0.31208,1.12998,1.73981,0.01374,0.00659215,0.00659215,0.0402727
3,65.4553,1.25875,1.89651,0.01521,0.47477,0.40174,0.41579,0.26818,1.2728,1.94878,0.01579,0.00984569,0.00984569,0.0101929
4,79.3832,1.27645,1.79634,0.01557,0.5091,0.57078,0.5547,0.36024,1.21212,1.60259,0.01524,0.00982,0.00982,0.00982
5,93.2705,1.2663,1.69029,0.0155,0.5818,0.50381,0.53941,0.35963,1.27351,1.5886,0.01573,0.00976,0.00976,0.00976
6,107.15,1.24443,1.6372,0.01504,0.57535,0.56925,0.58706,0.37017,1.29564,1.49526,0.01695,0.0097,0.0097,0.0097
7,121.185,1.22241,1.57639,0.01448,0.56677,0.57148,0.58385,0.39765,1.15153,1.50464,0.01432,0.00964,0.00964,0.00964
8,135.054,1.20952,1.5262,0.0145,0.63067,0.54795,0.59859,0.41846,1.14491,1.42453,0.01395,0.00958,0.00958,0.00958
9,149.02,1.17347,1.48152,0.014,0.62159,0.5586,0.60218,0.41612,1.16012,1.43132,0.01446,0.00952,0.00952,0.00952
10,163.165,1.16839,1.44398,0.01379,0.59869,0.58447,0.63111,0.4349,1.10999,1.32686,0.01348,0.00946,0.00946,0.00946
11,177.038,1.14609,1.38389,0.01351,0.62473,0.57839,0.62889,0.44828,1.11238,1.4579,0.0138,0.0094,0.0094,0.0094
12,190.876,1.13718,1.36763,0.01356,0.64614,0.54795,0.5985,0.43018,1.14772,1.52168,0.01387,0.00934,0.00934,0.00934
13,204.87,1.11563,1.33937,0.01328,0.68537,0.5723,0.64325,0.46508,1.07363,1.33987,0.0129,0.00928,0.00928,0.00928
14,218.696,1.1035,1.31126,0.0132,0.66831,0.62253,0.6619,0.47965,1.09499,1.32298,0.01339,0.00922,0.00922,0.00922
15,232.896,1.10339,1.30154,0.01306,0.68146,0.56983,0.65848,0.48321,1.05755,1.2387,0.01321,0.00916,0.00916,0.00916
16,246.788,1.09704,1.28533,0.01321,0.69811,0.50076,0.58661,0.43871,1.10087,1.75127,0.01359,0.0091,0.0091,0.0091
17,260.698,1.09461,1.27972,0.01299,0.68277,0.57839,0.66288,0.49248,1.03423,1.2693,0.01231,0.00904,0.00904,0.00904
18,274.81,1.09858,1.2712,0.013,0.74667,0.54947,0.65561,0.47046,1.0668,1.40606,0.01312,0.00898,0.00898,0.00898
19,288.622,1.07712,1.20939,0.01285,0.76746,0.51903,0.64658,0.45668,1.12868,1.4092,0.0141,0.00892,0.00892,0.00892
20,302.537,1.06246,1.19621,0.0125,0.66599,0.61187,0.667,0.49685,1.00963,1.39874,0.01213,0.00886,0.00886,0.00886
21,316.669,1.06062,1.18696,0.01231,0.68818,0.56164,0.63231,0.47258,1.06551,1.51288,0.01287,0.0088,0.0088,0.0088
22,330.514,1.05027,1.17463,0.01237,0.74056,0.57348,0.65057,0.49712,1.00413,1.45152,0.01218,0.00874,0.00874,0.00874
23,344.553,1.04614,1.15824,0.0123,0.72162,0.61339,0.6906,0.50923,1.0385,1.29534,0.01271,0.00868,0.00868,0.00868
24,358.542,1.03572,1.136,0.01199,0.67816,0.6484,0.6753,0.49723,1.0594,1.33022,0.01303,0.00862,0.00862,0.00862
25,372.509,1.02137,1.12271,0.01188,0.68916,0.61417,0.67913,0.51071,1.04157,1.36192,0.01274,0.00856,0.00856,0.00856
26,386.69,1.01267,1.10992,0.01184,0.69931,0.60578,0.67485,0.5035,1.05462,1.40082,0.01292,0.0085,0.0085,0.0085
27,400.631,1.01697,1.1049,0.01184,0.74971,0.62915,0.69955,0.53055,0.99517,1.25674,0.01202,0.00844,0.00844,0.00844
28,414.631,1.02032,1.10072,0.01198,0.69199,0.57686,0.64865,0.47812,1.0659,1.38609,0.01287,0.00838,0.00838,0.00838
29,428.685,0.99565,1.06878,0.0115,0.69903,0.60806,0.6546,0.50522,0.96963,1.51724,0.01184,0.00832,0.00832,0.00832
30,442.475,1.00954,1.06958,0.01179,0.74744,0.60274,0.67847,0.51403,1.01811,1.3615,0.01262,0.00826,0.00826,0.00826
31,456.473,0.97903,1.05886,0.01146,0.76981,0.54464,0.6456,0.48742,1.06895,1.62658,0.01302,0.0082,0.0082,0.0082
32,470.564,0.98301,1.04167,0.0114,0.69783,0.63775,0.6821,0.50146,1.03001,1.32084,0.0125,0.00814,0.00814,0.00814
33,484.347,0.97796,1.0132,0.01137,0.75415,0.60231,0.68391,0.5105,1.00333,1.49971,0.01258,0.00808,0.00808,0.00808
34,498.445,0.9758,1.00889,0.01135,0.73715,0.61492,0.68744,0.52587,0.99765,1.34704,0.01209,0.00802,0.00802,0.00802
35,512.559,0.96119,0.98525,0.01105,0.79751,0.5586,0.66819,0.50488,1.01467,1.4515,0.01224,0.00796,0.00796,0.00796
36,526.599,0.96082,0.98887,0.01111,0.70713,0.60122,0.66139,0.50508,1.00402,1.56225,0.01231,0.0079,0.0079,0.0079
37,540.687,0.96214,0.99588,0.0111,0.73827,0.61825,0.69256,0.5336,1.00159,1.29406,0.01169,0.00784,0.00784,0.00784
38,554.614,0.96661,0.97404,0.01134,0.73427,0.60985,0.67684,0.51676,0.99379,1.45075,0.01207,0.00778,0.00778,0.00778
39,568.508,0.95464,0.9714,0.01106,0.73134,0.6347,0.69894,0.52281,1.03459,1.28887,0.01272,0.00772,0.00772,0.00772
40,582.664,0.9419,0.95982,0.01079,0.71692,0.59513,0.6748,0.50804,1.03443,1.42365,0.01271,0.00766,0.00766,0.00766
41,596.571,0.9321,0.93642,0.0107,0.69057,0.621,0.67381,0.50825,1.0165,1.4793,0.0124,0.0076,0.0076,0.0076
42,610.665,0.94318,0.93109,0.01088,0.68405,0.62253,0.67009,0.49647,1.00405,1.51286,0.01199,0.00754,0.00754,0.00754
43,624.879,0.93226,0.9326,0.01082,0.75442,0.57686,0.66049,0.51834,0.98384,1.5002,0.01168,0.00748,0.00748,0.00748
44,638.685,0.92008,0.92521,0.0107,0.6961,0.63166,0.68547,0.51405,1.00928,1.45991,0.01226,0.00742,0.00742,0.00742
45,652.575,0.9233,0.9161,0.01069,0.69574,0.59056,0.66022,0.51347,0.99551,1.56983,0.01203,0.00736,0.00736,0.00736
46,666.703,0.9085,0.88003,0.01049,0.75004,0.57991,0.67538,0.51762,1.03554,1.50357,0.01253,0.0073,0.0073,0.0073
47,680.576,0.90918,0.90163,0.01041,0.77202,0.586,0.68309,0.52668,0.99034,1.51894,0.01217,0.00724,0.00724,0.00724
48,694.621,0.89542,0.87494,0.01039,0.73877,0.57534,0.66364,0.51237,1.00823,1.5084,0.01236,0.00718,0.00718,0.00718
49,708.46,0.90667,0.86063,0.01044,0.76131,0.5777,0.65614,0.51542,1.00183,1.57062,0.01207,0.00712,0.00712,0.00712
50,722.371,0.91119,0.8941,0.01027,0.7427,0.54478,0.63923,0.48798,1.03984,1.5797,0.01305,0.00706,0.00706,0.00706
51,736.449,0.90375,0.86528,0.0103,0.8024,0.53425,0.65597,0.51017,0.99297,1.6103,0.01209,0.007,0.007,0.007
52,750.32,0.88221,0.85239,0.01025,0.74812,0.60125,0.68218,0.53738,0.98015,1.61209,0.01194,0.00694,0.00694,0.00694
53,764.277,0.8836,0.8466,0.00993,0.75995,0.56469,0.66397,0.508,0.99279,1.57836,0.01224,0.00688,0.00688,0.00688
54,778.371,0.88234,0.85547,0.01003,0.76642,0.54642,0.63242,0.49576,1.00043,1.75713,0.01206,0.00682,0.00682,0.00682
55,792.25,0.87637,0.8302,0.01001,0.7326,0.57547,0.65377,0.50801,0.98394,1.6119,0.01198,0.00676,0.00676,0.00676
56,806.287,0.87634,0.81822,0.00984,0.77555,0.57078,0.66197,0.51778,1.0048,1.65939,0.01207,0.0067,0.0067,0.0067
57,820.192,0.87391,0.82752,0.01002,0.75589,0.58913,0.67926,0.52975,0.98837,1.55572,0.01195,0.00664,0.00664,0.00664
58,834.152,0.86187,0.81679,0.00978,0.77466,0.54642,0.64675,0.50471,0.99766,1.68964,0.01188,0.00658,0.00658,0.00658
59,848.16,0.85886,0.8042,0.0098,0.78536,0.55135,0.66181,0.51791,1.00087,1.58429,0.01193,0.00652,0.00652,0.00652
60,862.1,0.86552,0.7966,0.00991,0.76833,0.58555,0.6788,0.53544,0.97559,1.52073,0.01183,0.00646,0.00646,0.00646
61,875.876,0.84878,0.78964,0.00964,0.71374,0.56547,0.63693,0.49884,1.01575,1.75973,0.01235,0.0064,0.0064,0.0064
62,889.923,0.8527,0.78422,0.00966,0.73172,0.60274,0.67857,0.534,0.98613,1.55176,0.01195,0.00634,0.00634,0.00634
63,903.746,0.83666,0.78386,0.00962,0.84418,0.54338,0.67164,0.52711,0.9986,1.643,0.01195,0.00628,0.00628,0.00628
64,917.555,0.83786,0.78075,0.0096,0.79874,0.5586,0.64085,0.50745,0.98922,1.83292,0.01202,0.00622,0.00622,0.00622
65,931.728,0.83151,0.76131,0.00937,0.76892,0.58447,0.6775,0.53224,0.98161,1.58343,0.01207,0.00616,0.00616,0.00616
